bps_model_id,class,max_height_ft,max_diameter_in
10322_6,E,NA,21
10330_12,A,NA,5
10330_12,B,NA,33
10330_12,C,NA,33
10330_3_6_7,A,NA,5
10330_3_6_7,B,NA,9
10330_3_6_7,C,NA,33
10340_4_6_7,A,NA,9
10340_4_6_7,B,NA,33
10340_4_6_7,C,NA,33
10350_1_2_7,A,NA,5
10350_1_2_7,B,NA,9
10350_1_2_7,C,NA,9
10350_1_2_7,D,NA,33
10350_1_2_7,E,NA,33
10360_1_2,A,NA,5
10360_1_2,B,NA,21
10360_1_2,C,NA,9
10360_1_2,D,NA,33
10360_1_2,E,NA,33
10370_1_2_7,A,NA,5
10370_1_2_7,B,NA,21
10370_1_2_7,C,NA,21
10370_1_2_7,D,NA,33
10370_1_2_7,E,NA,33
10380_1_7,A,NA,NA
10380_1_7,B,NA,21
10390_1_2_3_7,A,NA,5
10390_1_2_3_7,B,NA,21
10390_1_2_3_7,C,NA,21
10390_1_2_3_7,D,NA,33
10390_1_2_3_7,E,NA,33
10411_1_7,A,NA,9
10411_1_7,B,NA,21
10411_1_7,C,NA,21
10411_1_7,D,NA,33
10411_1_7,E,NA,33
10412_1_7,A,4.5,NA
10412_1_7,B,NA,21
10412_1_7,C,NA,21
10412_1_7,D,NA,33
10412_1_7,E,NA,33
10420_1_7,A,NA,9
10420_1_7,B,NA,33
10420_1_7,C,NA,33
10420_1_7,D,NA,33
10420_1_7,E,NA,33
10430_5,A,NA,NA
10430_5,B,NA,21
10430_5,C,NA,33
10431_2_3_6_7,A,NA,9
10431_2_3_6_7,B,NA,21
10431_2_3_6_7,C,NA,21
10431_2_3_6_7,D,NA,33
10431_2_3_6_7,E,NA,33
10432_2_3,A,NA,9
10432_2_3,B,NA,21
10432_2_3,C,NA,21
10432_2_3,D,NA,33
10432_2_3,E,NA,33
10440_3_6_7,A,4.5,NA
10440_3_6_7,B,NA,21
10440_3_6_7,C,NA,21
10440_3_6_7,D,NA,33
10440_3_6_7,E,NA,33
10450_1_7_8_9,A,NA,5
10450_1_7_8_9,B,NA,21
10450_1_7_8_9,C,NA,21
10450_1_7_8_9,D,NA,33
10450_1_7_8_9,E,NA,33
10450_21,A,NA,5
10450_21,B,NA,9
10450_21,C,NA,21
10450_21,D,NA,33
10450_21,E,NA,33
10451_10_19,A,NA,5
10451_10_19,B,NA,21
10451_10_19,C,NA,21
10451_10_19,D,NA,33
10451_10_19,E,NA,33
10451_20,A,NA,5
10451_20,B,NA,9
10451_20,C,NA,21
10451_20,D,NA,33
10451_20,E,NA,33
10452_10_19,A,NA,5
10452_10_19,B,NA,21
10452_10_19,C,NA,21
10452_10_19,D,NA,33
10452_10_19,E,NA,33
10453_10_19,A,NA,5
10453_10_19,B,NA,21
10453_10_19,C,NA,21
10453_10_19,D,NA,33
10453_10_19,E,NA,33
10454_20,A,4.5,NA
10454_20,B,NA,9
10454_20,C,NA,9
10454_20,D,NA,21
10454_20,E,NA,21
10460_10_19_20,A,NA,5
10460_10_19_20,B,NA,9
10460_10_19_20,C,NA,9
10460_10_19_20,D,NA,21
10460_10_19_20,E,NA,21
10460_18,A,4.5,NA
10460_18,B,NA,9
10460_18,C,NA,21
10460_18,D,NA,33
10460_1_7_9,A,NA,33
10460_1_7_9,B,NA,NA
