bps_model_id,class,max_height_ft,max_diameter_in
11060_18,A,NA,NA
11060_18,B,NA,NA
11060_1_8_9,A,NA,NA
11060_1_8_9,B,NA,NA
11060_1_8_9,C,NA,NA
11060_20_21_29,A,NA,NA
11060_20_21_29,B,NA,NA
11060_20_21_29,C,NA,NA
11060_22,A,NA,NA
11060_22,B,NA,NA
11060_22,C,NA,NA
11070_13,A,NA,NA
11070_13,B,NA,NA
11070_13,C,NA,NA
11070_15,A,NA,NA
11070_15,B,NA,NA
11070_15,C,NA,NA
11070_15,D,NA,NA
11070_17,A,NA,NA
11070_17,B,NA,NA
11070_17,C,NA,NA
11070_23_24,A,NA,NA
11070_23_24,B,NA,NA
11070_23_24,C,NA,NA
11070_23_24,D,NA,NA
11070_25_28,A,NA,NA
11070_25_28,B,NA,NA
11070_25_28,C,NA,NA
11070_25_28,D,NA,NA
11070_27_33,A,NA,NA
11070_27_33,B,NA,NA
11070_27_33,C,NA,NA
11071_16,A,NA,NA
11071_16,B,4.5,NA
11071_16,C,NA,5
11072_16,A,NA,NA
11072_16,B,NA,NA
11072_16,C,NA,NA
11080_17,A,NA,NA
11080_17,B,NA,NA
11080_4_5_13_14_15_24_25,A,NA,NA
11080_4_5_13_14_15_24_25,B,NA,NA
11090_14,A,NA,NA
11090_14,B,NA,NA
11090_14,C,NA,9
11090_15_25,A,NA,NA
11090_15_25,B,NA,NA
11090_15_25,C,NA,9
11090_4_13,A,NA,NA
11090_4_13,B,NA,NA
11090_4_13,C,NA,9
11100_4,A,NA,NA
11100_4,B,NA,NA
11110_26,A,NA,NA
11110_26,B,NA,NA
11110_26,C,NA,NA
11110_27_33,A,NA,NA
11110_27_33,B,NA,NA
11110_27_33,C,NA,NA
11110_32_35,A,NA,NA
11110_32_35,B,NA,9
11110_32_35,C,NA,33
11110_32_35,D,NA,33
11110_34,A,NA,NA
11110_34,B,NA,NA
11110_34,C,NA,NA
11120_4_5,A,NA,5
11120_4_5,B,NA,33
11120_4_5,C,NA,33
11130_3,A,NA,21
11130_3,B,NA,33
11130_3,C,NA,33
11130_4,A,NA,9
11130_4,B,NA,33
11130_4,C,NA,33
11140_3_6_7,A,NA,5
11140_3_6_7,B,NA,9
11140_3_6_7,C,NA,33
11140_3_6_7,D,NA,33
11140_4_5,A,NA,5
11140_4_5,B,NA,9
11140_4_5,C,NA,21
11140_4_5,D,NA,21
11140_4_5,E,NA,9
11150_10_19,A,NA,NA
11150_10_19,B,NA,NA
11150_10_19,C,4.5,NA
11150_10_19,D,NA,33
11150_10_19,E,NA,33
11150_13,A,NA,NA
11150_13,B,NA,NA
11150_13,C,4.5,NA
11150_13,D,NA,33
11150_13,E,NA,33
11150_14,A,NA,NA
11150_14,B,NA,NA
11150_14,C,4.5,NA
11150_14,D,NA,33
11150_14,E,NA,33
11150_15_16_23_24,A,NA,NA
11150_15_16_23_24,B,NA,NA
11150_15_16_23_24,C,4.5,NA
11150_15_16_23_24,D,NA,9
11150_15_16_23_24,E,NA,21
11150_17,A,NA,NA
11150_17,B,NA,NA
11150_17,C,4.5,NA
11150_17,D,NA,33
11150_17,E,NA,33
11150_21_22,A,NA,NA
11150_21_22,B,NA,9
11150_21_22,C,NA,9
11150_21_22,D,NA,21
11150_28,A,NA,NA
11150_28,B,NA,NA
11150_28,C,4.5,NA
11150_28,D,NA,21
11150_28,E,NA,21
11160_15_25,A,NA,NA
11160_15_25,B,NA,9
11160_15_25,C,NA,21
11160_24,A,NA,NA
11160_24,B,NA,9
11160_24,C,NA,21
11160_26,A,NA,NA
11160_26,B,NA,9
11160_26,C,NA,21
11160_26,D,NA,NA
11170_13_15_28,A,4.5,NA
11170_13_15_28,B,NA,9
11170_13_15_28,C,NA,9
11170_13_15_28,D,NA,33
11170_13_15_28,E,NA,33
11170_16_23_24,A,NA,5
11170_16_23_24,B,NA,9
11170_16_23_24,C,NA,9
11170_16_23_24,D,NA,33
11170_16_23_24,E,NA,33
11170_20,A,NA,5
11170_20,B,NA,9
11170_20,C,NA,21
11170_20,D,NA,33
11170_20,E,NA,33
11170_29,A,4.5,NA
11170_29,B,NA,9
11170_29,C,NA,9
11170_29,D,NA,33
11170_29,E,NA,21
11170_33,A,4.5,NA
11170_33,B,NA,9
11170_33,C,NA,9
11170_33,D,NA,21
11170_33,E,NA,21
11171_27,A,4.5,NA
11171_27,B,NA,21
11171_27,C,NA,33
11172_27,A,4.5,NA
11172_27,B,NA,9
11172_27,C,NA,9
11172_27,D,NA,21
11172_27,E,NA,21
11180_4,A,NA,5
11180_4,B,NA,21
11180_4,C,NA,33
11180_4,D,NA,33
11190_24_25,A,NA,5
11190_24_25,B,NA,21
11190_24_25,C,NA,21
11190_24_25,D,NA,33
11190_24_25,E,NA,NA
11190_26,A,NA,NA
11190_26,B,NA,9
11190_26,C,NA,21
11190_26,D,NA,NA
11190_27,A,NA,5
11190_27,B,NA,21
11190_27,C,NA,21
11190_27,D,NA,33
11190_27,E,NA,NA
11190_28,A,NA,5
11190_28,B,NA,21
11190_28,C,NA,21
11190_28,D,NA,33
11190_28,E,NA,NA
11190_34,A,NA,NA
11190_34,B,NA,9
11190_34,C,NA,21
11200_1_2_7,A,NA,NA
11200_1_2_7,B,NA,33
11200_1_2_7,C,NA,33
11200_1_2_7,D,NA,33
11200_1_2_7,E,NA,33
11210_14,A,NA,NA
11210_14,B,NA,NA
11210_14,C,NA,NA
11210_14,D,NA,NA
11210_15,A,NA,NA
11210_15,B,NA,NA
11210_15,C,NA,NA
11210_15,D,NA,NA
11210_24,A,NA,NA
11210_24,B,NA,NA
11210_24,C,NA,NA
11210_24,D,NA,NA
11210_25,A,NA,NA
11210_25,B,NA,NA
11210_25,C,NA,NA
11210_26,NA,NA,NA
11210_27,A,NA,NA
11210_27,B,NA,NA
11210_27,C,NA,NA
11220_25,A,NA,NA
11220_25,B,NA,NA
11220_26,A,NA,NA
11220_26,B,NA,NA
11220_27,A,NA,NA
11230_10_18,A,NA,NA
11230_10_18,B,NA,NA
11230_1_7_8_9,A,NA,NA
11230_1_7_8_9,B,NA,NA
11230_1_7_8_9,C,NA,NA
11240_10_12_17_18_19_21,A,NA,NA
11240_10_12_17_18_19_21,B,NA,NA
11240_10_12_17_18_19_21,C,NA,NA
11240_1_7_8_9,A,NA,NA
11240_1_7_8_9,B,NA,NA
11240_1_7_8_9,C,NA,NA
11250_1_7_8_9_10_19,A,NA,NA
11250_1_7_8_9_10_19,B,NA,NA
11250_1_7_8_9_10_19,C,NA,NA
11250_1_7_8_9_10_19,D,NA,NA
11250_20_29_30_31_33,A,NA,NA
11250_20_29_30_31_33,B,NA,NA
11250_20_29_30_31_33,C,NA,NA
11250_6_12_13_15_16_17_18_23_24_25_28,A,NA,NA
11250_6_12_13_15_16_17_18_23_24_25_28,B,NA,NA
11250_6_12_13_15_16_17_18_23_24_25_28,C,NA,NA
11260_13,A,NA,NA
11260_13,B,4.5,NA
11260_13,C,NA,NA
11260_13,D,NA,5
11260_13,E,NA,9
11260_1_7_8_9_10_19,A,NA,NA
11260_1_7_8_9_10_19,B,NA,NA
11260_1_7_8_9_10_19,C,NA,NA
11260_1_7_8_9_10_19,D,NA,NA
11260_20_29_33,A,NA,NA
11260_20_29_33,B,NA,NA
11260_20_29_33,C,NA,NA
11260_21,A,NA,NA
11260_21,B,NA,NA
11260_21,C,NA,NA
11260_22,A,NA,NA
11260_22,B,NA,NA
11260_22,C,NA,NA
11260_22,D,NA,NA
11260_6_12_17_18_28,A,NA,NA
11260_6_12_17_18_28,B,4.5,NA
11260_6_12_17_18_28,C,NA,NA
11260_6_12_17_18_28,D,NA,5
11260_6_12_17_18_28,E,NA,9
11261_16_23_24,A,NA,NA
11261_16_23_24,B,4.5,NA
11261_16_23_24,C,NA,NA
11261_16_23_24,D,NA,5
11261_16_23_24,E,NA,9
11262_16_23,A,NA,NA
11262_16_23,B,NA,NA
11262_16_23,C,NA,NA
11270_10_12_13_17_18,A,NA,NA
11270_10_12_13_17_18,B,NA,NA
11270_14,A,NA,NA
11270_14,B,NA,NA
11270_15,A,NA,NA
11270_15,B,NA,NA
11270_15,C,NA,NA
11270_16_23_24_25,A,NA,NA
11270_16_23_24_25,B,NA,NA
11270_16_23_24_25,C,NA,NA
11270_21,A,NA,NA
11270_21,B,NA,NA
11270_22,A,NA,NA
11270_22,B,NA,NA
11270_28,A,NA,NA
11270_28,B,NA,NA
11270_28,C,NA,NA
11270_7_8_9,A,NA,NA
11270_7_8_9,B,NA,NA
11270_7_8_9,C,NA,NA
11280_2_3_4,A,NA,NA
11280_2_3_4,B,NA,NA
11280_2_3_4,C,NA,NA
11290_4_5,A,NA,NA
11290_4_5,B,NA,NA
11300_3_4,A,NA,NA
11300_3_4,B,NA,NA
11310_2_3_4,A,NA,NA
11310_2_3_4,B,NA,NA
11310_2_3_4,C,NA,NA
11320_31_38,A,NA,NA
11320_31_38,B,NA,NA
11320_31_38,C,NA,NA
11320_32_34_35,A,NA,NA
11320_32_34_35,B,NA,NA
11320_32_34_35,C,NA,NA
11320_33,A,NA,NA
11320_33,B,NA,NA
11320_33,C,NA,NA
11330_25,A,NA,NA
11330_25,B,NA,NA
11340_10,A,NA,NA
11340_10,B,NA,NA
11340_8_9,A,NA,NA
11340_8_9,B,NA,NA
11340_8_9,C,NA,NA
11350_13_14,A,NA,NA
11350_13_14,B,NA,NA
11350_15_28,A,NA,NA
11350_15_28,B,NA,NA
11350_15_28,C,NA,NA
11350_15_28,D,NA,NA
11350_16_23_24,A,NA,NA
11350_16_23_24,B,NA,NA
11350_16_23_24,C,NA,NA
11350_16_23_24,D,NA,NA
11350_22,A,NA,NA
11350_22,B,NA,NA
11350_22,C,NA,NA
11350_22,D,NA,NA
11350_25,A,NA,NA
11350_25,B,NA,NA
11350_25,C,NA,NA
11350_25,D,NA,NA
11350_7_8_9_10_12_17_18,A,NA,NA
11350_7_8_9_10_12_17_18,B,NA,NA
11360_6,A,NA,NA
11360_6,B,NA,NA
11370_3_6,A,NA,NA
11370_3_6,B,NA,NA
11370_3_6,C,4.5,NA
11380_1,A,NA,NA
11380_1,B,NA,NA
11380_3_5,A,NA,NA
11380_3_5,B,NA,NA
11380_6,A,NA,NA
11380_6,B,NA,NA
11390_10_19,A,NA,NA
11390_10_19,B,NA,NA
11390_10_19,C,NA,NA
11390_18,A,NA,NA
11390_18,B,NA,NA
11390_18,C,NA,NA
11390_20,A,NA,NA
11390_20,B,NA,NA
11390_21,A,NA,NA
11390_21,B,NA,NA
11390_21,C,NA,NA
11390_22,A,NA,NA
11390_22,B,NA,NA
11390_22,C,NA,NA
11390_29,A,NA,NA
11390_29,B,NA,NA
11390_8_9,A,NA,NA
11390_8_9,B,NA,NA
11390_8_9,C,NA,NA
11400_10_19,A,NA,NA
11400_10_19,B,NA,NA
11400_20,A,NA,NA
11400_20,B,NA,NA
11400_21,A,NA,NA
11400_21,B,NA,NA
11400_29,A,NA,NA
11400_29,B,NA,NA
11400_9,A,NA,NA
11400_9,B,NA,21
11410_20,A,NA,NA
11410_20,B,NA,NA
11410_20,C,NA,NA
11410_29_30,A,NA,NA
11410_29_30,B,NA,NA
11410_31,A,NA,NA
11410_31,B,NA,NA
11410_31,C,NA,NA
11410_39,A,NA,NA
11410_39,B,NA,NA
11410_39,C,NA,NA
11410_40,A,NA,NA
11410_40,B,NA,NA
11410_40,C,NA,NA
11420_8,A,NA,NA
11420_8,B,NA,NA
11420_8,C,NA,NA
11420_8,D,NA,NA
11420_9_10,A,NA,NA
11420_9_10,B,NA,NA
11430_9_19_21_28,A,NA,NA
11430_9_19_21_28,B,NA,NA
11440_12_16_19_28,A,NA,NA
11440_12_16_19_28,B,NA,NA
11440_21_22,A,NA,NA
11440_21_22,B,NA,NA
11450_13,A,NA,NA
11450_13,B,NA,NA
11450_13,C,4.5,NA
11450_16,A,NA,NA
11450_16,B,NA,NA
11450_16,C,4.5,NA
11450_17,A,NA,NA
11450_17,B,NA,NA
11450_17,C,4.5,NA
11450_20,A,NA,NA
11450_20,B,NA,NA
11450_20,C,4.5,NA
11450_21,A,NA,NA
11450_21,B,NA,NA
11450_21,C,4.5,NA
11450_22_24_28,A,NA,NA
11450_22_24_28,B,NA,NA
11450_22_24_28,C,4.5,NA
11450_29,A,NA,NA
11450_29,B,NA,NA
11450_9_10_19,A,NA,NA
11450_9_10_19,B,NA,NA
11450_9_10_19,C,4.5,NA
11460_15_16_23_24_25_28,A,NA,NA
11460_15_16_23_24_25_28,B,NA,NA
11460_15_16_23_24_25_28,C,NA,NA
11460_26,A,NA,NA
11460_27,A,NA,NA
11460_27,B,NA,NA
11470_27_33,A,NA,NA
11470_27_33,B,NA,NA
11470_28,A,NA,NA
11470_28,B,NA,NA
11470_28,C,NA,NA
11480_20_29_30,A,NA,NA
11480_20_29_30,B,NA,NA
11480_31_38,A,NA,NA
11480_31_38,B,NA,NA
11480_31_38,C,NA,NA
11480_32,A,NA,NA
11480_32,B,NA,NA
11480_32,C,NA,NA
11480_34_35,A,NA,NA
11480_34_35,B,NA,NA
11480_34_35,C,NA,NA
11490_25,A,NA,NA
11490_25,B,NA,NA
11490_25,C,NA,NA
11490_26,A,NA,NA
11490_26,B,NA,NA
11490_26,C,NA,NA
11490_26,D,NA,NA
11490_27_38,A,NA,NA
11490_27_38,B,NA,NA
11490_27_38,C,NA,NA
11490_28,A,NA,NA
11490_28,B,NA,NA
11490_28,C,NA,NA
11490_28,D,NA,NA
11490_29,A,NA,NA
11490_29,B,NA,NA
11490_29,C,NA,NA
11490_31_33,A,NA,NA
11490_31_33,B,NA,NA
11490_31_33,C,NA,NA
11490_34_35,A,NA,NA
11490_34_35,B,NA,NA
11500_31_39_40,A,NA,NA
11500_31_39_40,B,NA,NA
11500_31_39_40,C,NA,NA
11500_38,A,NA,NA
11500_38,B,NA,NA
11500_38,C,NA,NA
11510_4_5,A,NA,NA
11510_4_5,B,NA,NA
11510_4_5,C,NA,NA
11520_2_3_7,A,NA,NA
11520_2_3_7,B,NA,9
11520_2_3_7,C,NA,33
11520_4_5,A,NA,NA
11520_4_5,B,NA,9
11520_4_5,C,NA,33
11520_6,A,NA,NA
11520_6,B,NA,9
11520_6,C,NA,33
11530_16_23_24_25_27,A,NA,NA
11530_16_23_24_25_27,B,NA,NA
11530_16_23_24_25_27,C,NA,NA
11530_20_22_29_30,A,NA,NA
11530_20_22_29_30,B,NA,NA
11530_28,A,NA,NA
11530_28,B,NA,NA
11530_28,C,NA,NA
11530_6_10_12_13_17_18_19_21,A,NA,NA
11530_6_10_12_13_17_18_19_21,B,NA,NA
11530_7_8_9,A,NA,NA
11530_7_8_9,B,NA,NA
11530_7_8_9,C,NA,NA
11540_10_19,A,NA,NA
11540_10_19,B,NA,9
11540_10_19,C,NA,21
11540_13,A,NA,NA
11540_13,B,NA,9
11540_13,C,NA,33
11540_18,A,NA,NA
11540_18,B,NA,9
11540_18,C,NA,21
11540_1_7_8_9,A,NA,5
11540_1_7_8_9,B,NA,9
11540_1_7_8_9,C,NA,33
11540_6_12_16_17,A,NA,NA
11540_6_12_16_17,B,NA,5
11540_6_12_16_17,C,NA,33
11550_13_14,A,NA,NA
11550_13_14,B,NA,9
11550_13_14,C,NA,21
11550_13_14,D,NA,33
11550_13_14,E,NA,33
11550_15,A,NA,NA
11550_15,B,NA,9
11550_15,C,NA,33
11550_15,D,NA,33
11550_25,A,NA,NA
11550_25,B,NA,NA
11550_26_35,A,NA,NA
11550_26_35,B,NA,NA
11550_26_35,C,NA,33
11550_4,A,NA,NA
11550_4,B,NA,9
11550_4,C,NA,21
11550_4,D,NA,33
11550_4,E,NA,33
11552_13_14_15,A,NA,NA
11552_13_14_15,B,NA,9
11552_13_14_15,C,NA,21
11560_1_2_7,A,NA,9
11560_1_2_7,B,NA,NA
11560_1_2_7,C,NA,NA
11560_1_2_7,D,NA,NA
11570_1_2,A,NA,5
11570_1_2,B,NA,21
11570_1_2,C,NA,NA
11581_1_2_7,A,NA,NA
11581_1_2_7,B,NA,21
11581_1_2_7,C,NA,33
11582_1_2_7,A,NA,NA
11582_1_2_7,B,NA,21
11582_1_2_7,C,NA,33
11590_10_19,A,NA,NA
11590_10_19,B,NA,5
11590_10_19,C,NA,33
11590_12_17,A,NA,NA
11590_12_17,B,NA,5
11590_12_17,C,NA,33
11590_13,A,NA,NA
11590_13,B,NA,9
11590_13,C,NA,33
11590_15,A,NA,NA
11590_15,B,NA,9
11590_15,C,NA,33
11590_16_23_24_26,A,NA,NA
11590_16_23_24_26,B,NA,9
11590_18,A,NA,NA
11590_18,B,NA,9
11590_18,C,NA,21
11590_20,A,NA,NA
11590_20,B,NA,5
11590_20,C,NA,33
11590_21,A,NA,NA
11590_21,B,NA,5
11590_21,C,NA,33
11590_22,A,NA,NA
11590_22,B,NA,33
11590_25,A,NA,NA
11590_25,B,NA,9
11590_27_33,A,NA,NA
11590_27_33,B,NA,9
11590_28,A,NA,NA
11590_28,B,NA,9
11590_29,A,NA,NA
11590_29,B,NA,5
11590_29,C,NA,33
11590_8_9,A,NA,NA
11590_8_9,B,NA,5
11590_8_9,C,NA,33
11600_10_19,A,NA,NA
11600_10_19,B,NA,9
11600_12_17,A,NA,NA
11600_12_17,B,NA,9
11600_15_28,A,NA,NA
11600_15_28,B,NA,9
11600_16,A,NA,NA
11600_16,B,NA,9
11600_18,A,NA,NA
11600_18,B,NA,9
11600_18,C,NA,NA
11600_20_29,A,NA,NA
11600_20_29,B,NA,9
11600_21,A,NA,NA
11600_21,B,NA,NA
11600_23,A,NA,NA
11600_23,B,NA,9
11600_8_9,A,NA,NA
11600_8_9,B,NA,9
11610_21,A,NA,5
11610_21,B,NA,21
11610_21,C,NA,33
11610_9_10_19,A,NA,5
11610_9_10_19,B,NA,NA
11610_9_10_19,C,NA,NA
11620_20,A,4.5,NA
11620_20,B,NA,5
11620_20,C,NA,21
11620_20,D,NA,33
11620_20,E,NA,NA
11620_22,A,4.5,NA
11620_22,B,NA,5
11620_22,C,NA,21
11620_22,D,NA,33
11620_22,E,NA,NA
11620_27_33,A,4.5,NA
11620_27_33,B,NA,NA
11620_27_33,C,NA,NA
11620_29_30,A,NA,5
11620_29_30,B,NA,21
11620_29_30,C,NA,33
11620_29_30,D,NA,21
11620_29_30,E,NA,NA
11620_31_39_40,A,NA,5
11620_31_39_40,B,NA,21
11620_31_39_40,C,NA,33
11620_31_39_40,D,NA,21
11620_31_39_40,E,NA,NA
11620_32_35,A,NA,21
11620_32_35,B,NA,33
11620_34,A,4.5,NA
11620_34,B,NA,NA
11620_34,C,NA,NA
11620_38,A,NA,5
11620_38,B,NA,21
11620_38,C,NA,33
11620_38,D,NA,21
11620_38,E,NA,NA
11630_3_4_5,A,NA,NA
11630_3_4_5,B,NA,NA
11630_3_4_5,C,NA,NA
11650_1_7_8,A,NA,21
11650_1_7_8,B,NA,33
11650_1_7_8,C,NA,33
11650_9,A,NA,5
11650_9,B,NA,9
11650_9,C,NA,NA
11650_9,D,NA,NA
11660_21,A,NA,5
11660_21,B,NA,9
11660_21,C,NA,9
11660_21,D,NA,33
11660_21,E,NA,33
11660_22,A,NA,5
11660_22,B,NA,9
11660_22,C,NA,9
11660_22,D,NA,33
11660_22,E,NA,33
11660_29,A,4.5,NA
11660_29,B,NA,9
11660_29,C,NA,9
11660_29,D,NA,33
11660_29,E,NA,33
11660_9_10_19,A,NA,5
11660_9_10_19,B,NA,21
11660_9_10_19,C,NA,21
11660_9_10_19,D,NA,33
11660_9_10_19,E,NA,33
11662_19,A,NA,5
11662_19,B,NA,33
11662_19,C,NA,21
11662_19,D,NA,33
11670_10_19,A,4.5,NA
11670_10_19,B,NA,9
11670_10_19,C,NA,9
11670_10_19,D,NA,33
11670_1_7_9,A,NA,5
11670_1_7_9,B,NA,21
11670_1_7_9,C,NA,21
11670_21,A,NA,9
11670_21,B,NA,21
11670_21,C,NA,21
11670_21,D,NA,21
11700_2_3_7,A,NA,5
11700_2_3_7,B,NA,21
11700_2_3_7,C,NA,33
11710_1,A,NA,NA
11710_1,B,NA,NA
11710_7,A,NA,NA
11710_7,B,NA,NA
11720_7,A,NA,5
11720_7,B,NA,21
11720_7,C,NA,21
11720_7,D,NA,33
11720_7,E,NA,33
11730_1_7,A,NA,NA
11730_1_7,B,NA,33
11740_1_7,A,NA,5
11740_1_7,B,NA,21
11740_1_7,C,NA,21
11740_1_7,D,NA,33
11740_1_7,E,NA,33
11770_3,A,NA,NA
11770_3,B,NA,NA
11770_3,C,NA,NA
11770_4,A,NA,NA
11770_4,B,NA,9
11770_4,C,NA,NA
11780_1_2_7,A,NA,NA
11780_1_2_7,B,NA,NA
11780_1_2_7,C,NA,NA
11790_31,A,NA,9
11790_31,B,NA,33
11790_31,C,NA,21
11791_29_30,A,4.5,NA
11791_29_30,B,NA,9
11791_29_30,C,NA,9
11791_29_30,D,NA,33
11791_29_30,E,NA,21
11792_29_30,A,4.5,NA
11792_29_30,B,NA,9
11792_29_30,C,NA,9
11792_29_30,D,NA,33
11792_29_30,E,NA,21
13010_40,A,NA,5
13010_40,B,NA,9
13010_40,C,NA,21
13010_40,D,NA,21
13020_40,A,NA,9
13020_40,B,NA,9
13020_40,C,NA,21
13020_40,D,NA,33
13020_40,E,NA,21
13020_63,A,NA,9
13020_63,B,NA,9
13020_63,C,NA,21
13020_63,D,NA,33
13020_63,E,NA,21
13020_64,A,NA,9
13020_64,B,NA,9
13020_64,C,NA,21
13020_64,D,NA,33
13020_65_66,A,NA,9
13020_65_66,B,NA,9
13020_65_66,C,NA,21
13020_65_66,D,NA,33
13020_65_66,E,NA,21
13022_41_50_51,A,4.5,NA
13022_41_50_51,B,NA,5
13022_41_50_51,C,NA,33
13022_41_50_51,D,NA,33
13022_41_50_51,E,NA,21
13023_51,A,NA,9
13023_51,B,NA,9
13023_51,C,NA,21
13023_51,D,NA,33
13023_51,E,NA,21
13030_60,A,NA,NA
13030_60,B,NA,5
13030_60,C,NA,33
13030_60,D,NA,33
13030_60,E,NA,33
13030_61_63_64_65_66,A,NA,5
13030_61_63_64_65_66,B,NA,5
13030_61_63_64_65_66,C,NA,33
13030_61_63_64_65_66,D,NA,33
13030_61_63_64_65_66,E,NA,33
13030_62,A,NA,NA
13030_62,B,NA,5
13030_62,C,NA,33
13030_62,D,NA,33
13030_62,E,NA,33
13040_32_43_44_49,A,NA,5
13040_32_43_44_49,B,NA,9
13040_32_43_44_49,C,NA,9
13040_32_43_44_49,D,NA,21
13040_32_43_44_49,E,NA,21
13050_47_48,A,NA,NA
13050_47_48,B,NA,5
13050_47_48,C,NA,21
13050_47_48,D,NA,21
13050_47_48,E,NA,21
13050_49,A,NA,NA
13050_49,B,NA,5
13050_49,C,NA,33
13050_49,D,NA,33
13050_49,E,NA,33
13050_53,A,NA,NA
13050_53,B,NA,5
13050_53,C,NA,21
13050_53,D,NA,21
13050_53,E,NA,21
13060_47_48,A,NA,5
13060_47_48,B,NA,21
13060_47_48,C,NA,21
13060_47_48,D,NA,33
13060_47_48,E,NA,33
13070_46_47_48,A,NA,5
13070_46_47_48,B,NA,21
13070_46_47_48,C,NA,21
13070_46_47_48,D,NA,33
13070_46_47_48,E,NA,33
13080_32_35,A,NA,5
13080_32_35,B,NA,9
13080_32_35,C,NA,9
13080_32_35,D,NA,21
13080_32_35,E,NA,21
13080_38_43_44,A,NA,5
13080_38_43_44,B,NA,9
13080_38_43_44,C,NA,9
13080_38_43_44,D,NA,21
13080_38_43_44,E,NA,21
13090_53_57,A,NA,5
13090_53_57,B,NA,21
13090_53_57,C,NA,21
13090_53_57,D,NA,33
13090_53_57,E,NA,33
13100_38_42_43,A,NA,NA
13100_38_42_43,B,NA,33
13100_38_42_43,C,NA,33
13100_38_42_43,D,NA,33
13100_38_42_43,E,NA,33
13100_39,A,NA,NA
13100_39,B,NA,33
13100_39,C,NA,33
13100_39,D,NA,33
13100_39,E,NA,33
13100_41_62,A,NA,NA
13100_41_62,B,NA,33
13100_41_62,C,NA,33
13100_41_62,D,NA,33
13100_41_62,E,NA,33
13100_44_50,A,NA,NA
13100_44_50,B,NA,33
13100_44_50,C,NA,33
13100_44_50,D,NA,33
13100_44_50,E,NA,33
13100_47,A,NA,NA
13100_47,B,NA,9
13100_47,C,NA,33
13100_47,D,NA,33
13100_47,E,NA,33
13100_49,A,NA,NA
13100_49,B,NA,33
13100_49,C,NA,33
13100_49,D,NA,33
13100_49,E,NA,33
13100_51,A,NA,NA
13100_51,B,NA,9
13100_51,C,NA,33
13100_51,D,NA,33
13100_51,E,NA,33
13100_52,A,NA,NA
13100_52,B,NA,33
13100_52,C,NA,33
13100_52,D,NA,33
13100_52,E,NA,33
13110_39,A,NA,NA
13110_39,B,NA,33
13110_39,C,NA,33
13110_39,D,NA,33
13110_39,E,NA,33
13110_42_43,A,NA,NA
13110_42_43,B,NA,9
13110_42_43,C,NA,33
13110_42_43,D,NA,33
13110_42_43,E,NA,33
13110_44,A,NA,NA
13110_44,B,NA,33
13110_44,C,NA,33
13110_44,D,NA,33
13110_44,E,NA,33
13110_49,A,NA,NA
13110_49,B,NA,9
13110_49,C,NA,33
13110_49,D,NA,33
13110_49,E,NA,33
13110_50,A,NA,NA
13110_50,B,NA,33
13110_50,C,NA,33
13110_50,D,NA,33
13110_50,E,NA,33
13110_51,A,NA,NA
13110_51,B,NA,9
13110_51,C,NA,33
13110_51,D,NA,33
13110_51,E,NA,33
13110_52,A,NA,NA
13110_52,B,NA,9
13110_52,C,NA,33
13110_52,E,NA,33
13120_44,A,NA,NA
13120_44,B,NA,21
13120_44,C,NA,21
13120_44,D,NA,33
13120_44,E,NA,33
13130_47_50_51,A,NA,9
13130_47_50_51,B,NA,21
13130_47_50_51,C,NA,33
13130_47_50_51,D,NA,33
13130_49_52_62,A,NA,9
13130_49_52_62,B,NA,21
13130_49_52_62,C,NA,33
13130_49_52_62,D,NA,33
13140_38_39_40_41_42_43_44_50,A,NA,9
13140_38_39_40_41_42_43_44_50,B,NA,21
13140_38_39_40_41_42_43_44_50,C,NA,33
13140_38_39_40_41_42_43_44_50,D,NA,33
13140_49,A,NA,9
13140_49,B,NA,21
13140_49,C,NA,33
13140_49,D,NA,33
13150_48_53_57_59_61,A,NA,5
13150_48_53_57_59_61,B,NA,21
13150_48_53_57_59_61,C,NA,21
13150_48_53_57_59_61,D,NA,33
13150_48_53_57_59_61,E,NA,33
13160_54_57_59_61,A,NA,5
13160_54_57_59_61,B,NA,21
13160_54_57_59_61,C,NA,21
13160_54_57_59_61,D,NA,33
13160_54_57_59_61,E,NA,33
13160_60,A,NA,5
13160_60,B,NA,21
13160_60,C,NA,21
13160_60,D,NA,33
13160_60,E,NA,33
13170_48_53,A,NA,NA
13170_48_53,B,NA,5
13170_48_53,C,NA,21
13170_48_53,D,NA,21
13170_48_53,E,NA,21
13170_57_61,A,NA,NA
13170_57_61,B,NA,5
13170_57_61,C,NA,21
13170_57_61,D,NA,21
13170_57_61,E,NA,21
13170_62,A,NA,NA
13170_62,B,NA,5
13170_62,C,NA,21
13170_62,D,NA,33
13180_48_53,A,NA,5
13180_48_53,B,NA,9
13180_48_53,C,NA,33
13180_48_53,D,NA,33
13180_57_59_61,A,NA,5
13180_57_59_61,B,NA,9
13180_57_59_61,C,NA,9
13180_57_59_61,D,NA,33
13180_57_59_61,E,NA,33
13200_48_57_61,A,4.5,NA
13200_48_57_61,B,NA,5
13200_48_57_61,C,NA,5
13200_48_57_61,D,NA,5
13200_48_57_61,E,NA,21
13210_47_48_53_57,A,NA,5
13210_47_48_53_57,B,NA,21
13210_47_48_53_57,C,NA,33
13210_47_48_53_57,D,NA,33
13210_49,A,NA,5
13210_49,B,NA,9
13210_49,C,NA,33
13210_61_63,A,NA,5
