Iteration,Timestep,BPS_MODEL,StateClassIDSource,StratumIDDest,StateClassIDDest,AgeMin,AgeMax,Location
,,14720_53_54_57_59_60,Mid1:OPN,,Late1:OPN,20,69,A1
,,14720_61_62_63,Early1:ALL,,Mid1:CLS,0,19,B2
,,14720_61_62_63,Late1:CLS,,Late1:CLS,70,999,C3
,,14720_61_62_63,Late1:OPN,,Late1:OPN,70,999,A3
,,14720_61_62_63,Mid1:CLS,,Late1:CLS,20,69,C1
,,14720_61_62_63,Mid1:OPN,,Late1:OPN,20,69,A1
,,14720_64_65_66,Early1:ALL,,Mid1:CLS,0,19,B2
,,14720_64_65_66,Late1:CLS,,Late1:CLS,70,999,C3
,,14720_64_65_66,Late1:OPN,,Late1:OPN,70,999,A3
,,14720_64_65_66,Mid1:CLS,,Late1:CLS,20,69,C1
,,14720_64_65_66,Mid1:OPN,,Late1:OPN,20,69,A1
,,14730_32_37_44,Early1:ALL,,Mid1:CLS,0,15,B1
,,14730_32_37_44,Late1:CLS,,Late1:CLS,46,999,A2
,,14730_32_37_44,Late1:OPN,,Late1:OPN,46,999,D2
,,14730_32_37_44,Mid1:CLS,,Late1:CLS,16,45,C2
,,14730_36,Early1:ALL,,Mid1:CLS,0,15,B1
,,14730_36,Late1:CLS,,Late1:CLS,46,999,A2
,,14730_36,Late1:OPN,,Late1:OPN,46,999,D2
,,14730_36,Mid1:CLS,,Late1:CLS,16,45,C2
,,14730_45_46_47_98_99,Early1:ALL,,Mid1:CLS,0,19,B1
,,14730_45_46_47_98_99,Late1:CLS,,Late1:CLS,80,999,A2
,,14730_45_46_47_98_99,Late1:OPN,,Late1:OPN,80,999,D2
,,14730_45_46_47_98_99,Mid1:CLS,,Late1:CLS,20,79,C2
,,14730_55_58_60,Early1:ALL,,Mid1:CLS,0,19,B1
,,14730_55_58_60,Late1:CLS,,Late1:CLS,80,999,A2
,,14730_55_58_60,Late1:OPN,,Late1:OPN,81,999,D2
,,14730_55_58_60,Mid1:CLS,,Late1:CLS,20,79,C2
,,14740_32_37_44_45_98,Early1:ALL,,Mid1:CLS,0,15,B1
,,14740_32_37_44_45_98,Late1:CLS,,Late1:CLS,41,999,A2
,,14740_32_37_44_45_98,Mid1:CLS,,Late1:CLS,16,40,C2
,,14740_36,Early1:ALL,,Mid1:CLS,0,15,B1
,,14740_36,Mid1:CLS,,Mid1:CLS,16,999,C2
,,14740_46_47_48_55_56_58_60_99,Early1:ALL,,Mid1:CLS,0,19,B2
,,14740_46_47_48_55_56_58_60_99,Late1:CLS,,Late1:CLS,70,999,C3
,,14740_46_47_48_55_56_58_60_99,Late1:OPN,,Late1:OPN,70,999,A3
,,14740_46_47_48_55_56_58_60_99,Mid1:CLS,,Late1:CLS,20,69,C1
,,14740_46_47_48_55_56_58_60_99,Mid1:OPN,,Late1:OPN,20,69,A1
,,14750_41_50_51_63_64_65_66,Early1:ALL,,Mid1:OPN,0,9,B2
,,14750_41_50_51_63_64_65_66,Late1:CLS,,Late1:CLS,150,999,C3
,,14750_41_50_51_63_64_65_66,Mid1:CLS,,Late1:CLS,30,149,A1
,,14750_41_50_51_63_64_65_66,Mid1:OPN,,Mid1:CLS,10,29,C1
,,14760_36,Early1:OPN,,Mid1:OPN,0,12,B1
,,14760_36,Late1:CLS,,Late1:CLS,34,999,A2
,,14760_36,Mid1:OPN,,Late1:CLS,13,33,C2
,,14770_40_41_50_51,Early1:ALL,,Mid1:OPN,0,40,B2
,,14770_40_41_50_51,Late1:CLS,,Late2:ALL,81,250,C1
,,14770_40_41_50_51,Late2:ALL,,Late2:ALL,251,500,A3
,,14770_40_41_50_51,Late3:OPN,,Late3:OPN,251,999,C3
,,14770_40_41_50_51,Mid1:OPN,,Late1:CLS,41,80,A1
,,14770_63_64_65_66,Early1:ALL,,Mid1:OPN,0,40,B2
,,14770_63_64_65_66,Late1:CLS,,Late2:ALL,81,250,C1
,,14770_63_64_65_66,Late2:ALL,,Late2:ALL,251,500,A3
,,14770_63_64_65_66,Late3:OPN,,Late3:OPN,251,999,C3
,,14770_63_64_65_66,Mid1:OPN,,Late1:CLS,41,80,A1
,,14780_56,Early1:ALL,,Mid1:CLS,0,15,B2
,,14780_56,Late1:CLS,,Late1:CLS,1,999,A3
,,14780_56,Mid1:CLS,,Mid2:CLS,16,60,C1
,,14780_56,Mid2:CLS,,Mid2:CLS,61,999,A1
,,14790_41_42_47_48_50_51_53,Early1:ALL,,Mid1:CLS,0,29,B1
,,14790_41_42_47_48_50_51_53,Late1:CLS,,Late1:CLS,80,999,A2
,,14790_41_42_47_48_50_51_53,Mid1:CLS,,Late1:CLS,30,79,C2
,,14790_52_62,Early1:ALL,,Mid1:CLS,0,29,B1
,,14790_52_62,Late1:CLS,,Late1:CLS,80,999,A2
,,14790_52_62,Mid1:CLS,,Late1:CLS,30,79,C2
,,14790_60_61_63_64_65_66,Early1:ALL,,Mid1:CLS,0,29,A1
,,14790_60_61_63_64_65_66,Late1:CLS,,Late1:CLS,80,999,C1
,,14790_60_61_63_64_65_66,Mid1:CLS,,Late1:CLS,30,79,B1
,,14800_36_37_44,Early1:ALL,,Mid1:CLS,0,19,B2
,,14800_36_37_44,Late1:CLS,,Late1:CLS,100,999,C3
,,14800_36_37_44,Late1:OPN,,Late1:OPN,100,999,A3
,,14800_36_37_44,Mid1:CLS,,Late1:CLS,20,99,C1
,,14800_45_98,Early1:ALL,,Mid1:CLS,0,19,B2
,,14800_45_98,Late1:CLS,,Late1:CLS,100,999,C3
,,14800_45_98,Late1:OPN,,Late1:OPN,100,999,A3
,,14800_45_98,Mid1:CLS,,Late1:CLS,20,99,C1
,,14800_46_56_58_60_64_65_66,Early1:ALL,,Mid1:CLS,0,10,B1
,,14800_46_56_58_60_64_65_66,Late1:CLS,,Late1:CLS,31,999,A2
,,14800_46_56_58_60_64_65_66,Mid1:CLS,,Late1:CLS,11,30,C2
,,14800_47,Early1:ALL,,Mid1:CLS,0,10,B1
,,14800_47,Late1:CLS,,Late1:CLS,31,999,A2
,,14800_47,Mid1:CLS,,Late1:CLS,11,30,C2
,,14800_55_99,Early1:ALL,,Mid1:CLS,0,10,B1
,,14800_55_99,Late1:CLS,,Late1:CLS,31,999,A2
,,14800_55_99,Mid1:CLS,,Late1:CLS,11,30,C2
,,14810_41_50_51_63,Early1:ALL,,Early2:CLS,0,29,B2
,,14810_41_50_51_63,Early2:CLS,,Mid1:CLS,30,55,C1
,,14810_41_50_51_63,Late1:CLS,,Late1:CLS,116,999,C3
,,14810_41_50_51_63,Mid1:CLS,,Late1:CLS,56,115,A1
,,14820_30,Early1:ALL,,Mid1:CLS,0,20,B1
,,14820_30,Mid1:CLS,,Mid1:CLS,21,999,C1
,,14820_39_40,Early1:ALL,,Mid1:CLS,0,10,B1
,,14820_39_40,Mid1:CLS,,Mid1:CLS,11,999,C1
,,14830_56,Early1:ALL,,Mid1:CLS,0,9,B2
,,14830_56,Late1:CLS,,Late1:CLS,25,999,C3
,,14830_56,Late1:OPN,,Late1:OPN,1,998,A3
,,14830_56,Mid1:CLS,,Late1:CLS,10,24,C1
,,14850_55_99,Early1:ALL,,Mid1:OPN,0,14,B2
,,14850_55_99,Late1:CLS,,Late1:CLS,75,999,C3
,,14850_55_99,Late1:OPN,,Late1:OPN,75,999,A3
,,14850_55_99,Mid1:CLS,,Late1:CLS,15,74,C1
,,14850_55_99,Mid1:OPN,,Late1:OPN,15,74,A1
,,14860_36,Early1:ALL,,Mid1:CLS,0,2,B1
,,14860_36,Early1:OPN,,Mid1:CLS,1,2,D2
,,14860_36,Mid1:CLS,,Mid1:CLS,3,999,C2
,,14880_38_42_43,Early1:CLS,,Early1:CLS,0,999,B1
,,14890_55_56_99,Early1:ALL,,Mid1:CLS,0,1,B2
,,14890_55_56_99,Late1:CLS,,Late2:CLS,21,40,A3
,,14890_55_56_99,Late2:CLS,,Late2:CLS,41,419,C3
,,14890_55_56_99,Mid1:CLS,,Mid2:CLS,2,10,C1
,,14890_55_56_99,Mid2:CLS,,Late1:CLS,11,20,A1
,,14900_36,Early1:ALL,,Mid1:CLS,0,1,B2
,,14900_36,Mid1:CLS,,Mid1:CLS,2,999,C1
,,14900_37_98,Early1:ALL,,Mid1:OPN,0,10,C1
,,14900_37_98,Mid1:OPN,,Mid1:OPN,11,999,A1
,,14900_55_56_58_99,Early1:OPN,,Mid1:OPN,0,5,B2
,,14900_55_56_58_99,Early2:OPN,,Early2:OPN,1,150,A3
,,14900_55_56_58_99,Mid1:OPN,,Mid2:OPN,6,18,C1
,,14900_55_56_58_99,Mid2:OPN,,Mid2:OPN,19,50,A1
,,14900_60,Early1:OPN,,Mid1:OPN,0,5,B2
,,14900_60,Early2:OPN,,Early2:OPN,1,150,A3
,,14900_60,Mid1:OPN,,Mid2:OPN,6,18,C1
,,14900_60,Mid2:OPN,,Mid2:OPN,19,50,A1
,,14900_65_66,Early1:ALL,,Mid1:OPN,0,2,B2
,,14900_65_66,Late1:OPN,,Late1:OPN,6,999,A1
,,14900_65_66,Mid1:OPN,,Late1:OPN,3,5,C1
,,14920_41_50_51_52_63,Early1:ALL,,Early1:ALL,0,999,B1
,,14920_41_50_51_52_63,Early2:ALL,,Early2:ALL,1,999,C2
,,14920_41_50_51_52_63,Mid1:CLS,,Mid1:CLS,2,999,A2
,,14930_41_42_44_50,Early1:OPN,,Late1:OPN,0,50,B2
,,14930_41_42_44_50,Late1:OPN,,Late1:OPN,51,999,C1
,,14930_41_42_44_50,Late2:CLS,,Late3:CLS,51,131,A3
,,14930_41_42_44_50,Late3:CLS,,Late3:CLS,132,999,C3
,,14930_52_62,Early1:OPN,,Late1:OPN,0,50,B2
,,14930_52_62,Late1:OPN,,Late1:OPN,51,999,C1
,,14930_52_62,Late2:CLS,,Late3:CLS,51,151,A1
,,14930_52_62,Late3:CLS,,Late3:CLS,152,999,A3
,,14940_41_50_51,Early1:OPN,,Late1:OPN,0,50,B2
,,14940_41_50_51,Late1:OPN,,Late1:OPN,51,999,C1
,,14940_41_50_51,Late2:CLS,,Late3:CLS,51,151,A3
,,14940_41_50_51,Late3:CLS,,Late3:CLS,152,999,C3
,,14940_63_65_66,Early1:OPN,,Mid1:OPN,0,35,B2
,,14940_63_65_66,Late1:OPN,,Late2:CLS,71,120,A1
,,14940_63_65_66,Late2:CLS,,Late2:CLS,121,999,A3
,,14940_63_65_66,Mid1:OPN,,Late1:OPN,36,70,C1
,,14940_64,Early1:OPN,,Mid1:OPN,0,35,B2
,,14940_64,Late1:OPN,,Late2:CLS,71,120,A1
,,14940_64,Late2:CLS,,Late2:CLS,121,999,A3
,,14940_64,Mid1:OPN,,Late1:OPN,36,70,C1
,,14950_20,Early1:ALL,,Mid1:CLS,0,20,B1
,,14950_20,Mid1:CLS,,Mid1:CLS,21,999,C1
,,14950_27_33,Early1:OPN,,Mid1:CLS,0,10,B1
,,14950_27_33,Mid1:CLS,,Mid1:CLS,11,999,C1
,,14950_30,Early1:ALL,,Mid1:CLS,0,20,B1
,,14950_30,Mid1:CLS,,Mid1:CLS,21,999,C1
,,14950_31_39_40,Early1:ALL,,Mid1:CLS,0,5,B1
,,14950_31_39_40,Mid1:CLS,,Mid1:CLS,6,999,C1
,,14950_35,Early1:OPN,,Early1:OPN,0,999,B1
,,14950_36,Early1:OPN,,Early1:OPN,0,999,B1
,,14950_38,Early1:ALL,,Mid1:CLS,0,5,B1
,,14950_38,Mid1:CLS,,Mid1:CLS,6,999,C1
,,14951_26_34,Early1:OPN,,Early1:OPN,0,999,B1
,,14952_34,Early1:OPN,,Late1:OPN,0,45,B1
,,14952_34,Late1:OPN,,Late1:OPN,46,999,C2
,,15010_58_60,Early1:ALL,,Mid1:CLS,0,7,B2
,,15010_58_60,Late1:CLS,,Late1:CLS,71,500,C3
,,15010_58_60,Late2:CLS,,Late2:CLS,71,350,A3
,,15010_58_60,Mid1:CLS,,Late1:CLS,8,70,C1
,,15010_58_60,Mid2:CLS,,Late2:CLS,8,70,A1
,,15030_25_27,Early1:ALL,,Mid1:ALL,0,15,B1
,,15030_25_27,Late1:ALL,,Late1:ALL,51,999,A2
,,15030_25_27,Mid1:ALL,,Late1:ALL,16,50,C2
,,15030_26,Early1:ALL,,Mid1:ALL,0,15,B1
,,15030_26,Late1:ALL,,Late1:ALL,51,999,A2
,,15030_26,Mid1:ALL,,Late1:ALL,16,50,C2
,,15040_25_27,Early1:OPN,,Late1:OPN,0,30,B1
,,15040_25_27,Late1:OPN,,Late1:OPN,31,999,C1
,,15040_32_35,Early1:ALL,,Early1:ALL,0,30,B1
,,15041_26_34,Early1:ALL,,Early1:ALL,0,30,B1
,,15042_26_34,Early1:OPN,,Mid1:OPN,0,20,B1
,,15042_26_34,Mid1:OPN,,Mid1:OPN,21,999,C2
,,15042_26_34,Mid2:OPN,,Mid2:OPN,30,999,A2
,,15060_37_44,Early1:ALL,,Mid1:CLS,0,10,B1
,,15060_37_44,Late1:CLS,,Late1:CLS,66,999,A2
,,15060_37_44,Late1:OPN,,Late1:OPN,66,999,B3
,,15060_37_44,Mid1:CLS,,Late1:CLS,11,65,C2
,,15070_44,Early1:ALL,,Mid1:OPN,0,14,B2
,,15070_44,Late1:CLS,,Late1:CLS,60,999,C3
,,15070_44,Late1:OPN,,Late1:OPN,60,999,A3
,,15070_44,Mid1:CLS,,Late1:CLS,15,59,C1
,,15070_44,Mid1:OPN,,Late1:OPN,15,59,A1
,,15090_45_47,Early1:ALL,,Mid1:CLS,0,9,B2
,,15090_45_47,Late1:CLS,,Late1:CLS,60,999,A3
,,15090_45_47,Late1:OPN,,Late1:CLS,60,80,A1
,,15090_45_47,Mid1:CLS,,Late1:CLS,10,59,C1
,,15100_45,Early1:ALL,,Mid1:OPN,0,14,B2
,,15100_45,Late1:CLS,,Late1:CLS,60,999,C3
,,15100_45,Late1:OPN,,Late1:OPN,60,999,A3
,,15100_45,Mid1:CLS,,Late1:CLS,15,59,C1
,,15100_45,Mid1:OPN,,Late1:OPN,15,59,A1
,,15130_45,Early1:ALL,,Mid1:CLS,0,10,B1
,,15130_45,Late1:CLS,,Late1:CLS,66,999,A2
,,15130_45,Late1:OPN,,Late1:OPN,66,999,B3
,,15130_45,Mid1:CLS,,Late1:CLS,11,65,C2
,,15170_42_49_50,Early1:ALL,,Mid2:OPN,0,15,B2
,,15170_42_49_50,Late1:CLS,,Late1:CLS,15,999,C3
,,15170_42_49_50,Mid1:OPN,,Mid1:OPN,1,999,C1
,,15170_42_49_50,Mid2:OPN,,Mid2:OPN,16,999,A1
,,15170_42_49_50,Mid3:CLS,,Mid3:CLS,115,999,A3
,,15180_43_47_49_52_62_63_64_65,Early1:ALL,,Mid1:CLS,0,29,B2
,,15180_43_47_49_52_62_63_64_65,Late1:CLS,,Late1:CLS,80,999,A1
,,15180_43_47_49_52_62_63_64_65,Mid1:CLS,,Late1:CLS,30,79,C1
,,15190_32_35_36_37,Early1:ALL,,Mid1:OPN,0,20,B1
,,15190_32_35_36_37,Late1:CLS,,Late1:CLS,40,999,D2
,,15190_32_35_36_37,Late1:OPN,,Late1:OPN,40,999,D1
,,15190_32_35_36_37,Mid1:CLS,,Late1:CLS,21,39,B2
,,15190_32_35_36_37,Mid1:OPN,,Late1:OPN,21,39,C1
,,15230_32_35,Early1:ALL,,Early2:OPN,0,3,B2
,,15230_32_35,Early2:OPN,,Mid1:OPN,4,30,C1
,,15230_32_35,Late1:CLS,,Late1:CLS,71,999,C3
,,15230_32_35,Mid1:OPN,,Mid2:CLS,31,50,A1
,,15230_32_35,Mid2:CLS,,Late1:CLS,51,70,A3
,,15240_35,Early1:OPN,,Mid1:CLS,0,10,B1
,,15240_35,Late1:CLS,,Late1:CLS,36,999,A2
,,15240_35,Mid1:CLS,,Late1:CLS,11,35,C2
,,15250_35,Early1:OPN,,Late1:CLS,0,20,B1
,,15250_35,Late1:CLS,,Late1:CLS,21,999,C2
,,15260_64_65_66,Early1:ALL,,Early2:CLS,0,29,B2
,,15260_64_65_66,Early2:CLS,,Mid1:CLS,30,55,C1
,,15260_64_65_66,Late1:CLS,,Late1:CLS,116,999,C3
,,15260_64_65_66,Mid1:CLS,,Late1:CLS,56,115,A1
,,18040_79,Early1:OPN,,Late1:CLS,0,100,B1
,,18040_79,Late1:CLS,,Late1:CLS,101,999,C1
,,18060_79,Late1:CLS,,Late1:CLS,0,999,B1
,,18080_79,Early1:ALL,,Mid1:OPN,0,50,B2
,,18080_79,Late1:CLS,,Late1:CLS,181,999,A3
,,18080_79,Late1:OPN,,Late1:CLS,181,205,C3
,,18080_79,Mid1:OPN,,Mid2:CLS,51,90,C1
,,18080_79,Mid2:CLS,,Late1:CLS,91,180,A1
,,18090_79,Early1:ALL,,Mid1:OPN,0,50,B2
,,18090_79,Late1:CLS,,Late1:CLS,181,999,A3
,,18090_79,Late1:OPN,,Late1:CLS,181,205,C3
,,18090_79,Mid1:CLS,,Late1:CLS,91,180,A1
,,18090_79,Mid1:OPN,,Mid1:CLS,51,90,C1
,,18100_79,Early1:ALL,,Mid1:OPN,0,50,B2
,,18100_79,Late1:CLS,,Late1:CLS,181,999,A3
,,18100_79,Late1:OPN,,Late1:CLS,181,205,C3
,,18100_79,Mid1:CLS,,Late1:CLS,91,180,A1
,,18100_79,Mid1:OPN,,Mid1:CLS,51,90,C1
,,18110_79,Early1:OPN,,Mid1:CLS,0,10,B2
,,18110_79,Late1:CLS,,Late1:CLS,31,999,A1
,,18110_79,Mid1:CLS,,Late1:CLS,11,30,C1
,,18130_79,Early1:OPN,,Mid1:OPN,0,30,B1
,,18130_79,Late1:CLS,,Late1:CLS,51,999,C2
,,18130_79,Late2:OPN,,Mid1:OPN,1,30,D1
,,18130_79,Late3:OPN,,Late1:CLS,51,300,B2
,,18130_79,Mid1:OPN,,Late1:CLS,31,50,C1
,,18140_79,Early1:ALL,,Mid1:OPN,0,20,B2
,,18140_79,Late1:CLS,,Late1:CLS,201,999,C3
,,18140_79,Late1:OPN,,Late1:CLS,201,230,A3
,,18140_79,Mid1:CLS,,Late1:CLS,101,200,A1
,,18140_79,Mid1:OPN,,Mid1:CLS,21,100,C1
,,18151_79,Early1:ALL,,Mid1:CLS,0,100,B1
,,18151_79,Late1:CLS,,Late1:CLS,301,999,E1
,,18151_79,Mid1:CLS,,Mid1:OPN,101,150,C1
,,18151_79,Mid1:OPN,,Late1:CLS,151,300,D1
,,18160_79,Early1:ALL,,Mid1:OPN,0,20,B2
,,18160_79,Late1:CLS,,Late1:CLS,201,999,C3
,,18160_79,Late1:OPN,,Late1:CLS,201,230,A3
,,18160_79,Mid1:CLS,,Late1:CLS,101,200,A1
,,18160_79,Mid1:OPN,,Mid1:CLS,21,100,C1
,,18170_79,Early1:OPN,,Mid1:CLS,0,30,B1
,,18170_79,Late1:CLS,,Late1:CLS,41,999,C2
,,18170_79,Mid1:CLS,,Late1:CLS,31,40,C1
,,18170_79,Mid2:CLS,,Mid2:CLS,1,11,D1
,,18180_79,Early1:OPN,,Mid1:CLS,0,20,B1
,,18180_79,Late1:CLS,,Late1:CLS,31,999,D1
,,18180_79,Mid1:CLS,,Late1:CLS,21,30,C1
,,18190_79,Early1:OPN,,Late1:ALL,0,50,B1
,,18190_79,Late1:ALL,,Late1:ALL,51,999,C1
,,18200_79,Early1:ALL,,Mid1:OPN,0,50,B1
,,18200_79,Mid1:OPN,,Mid1:OPN,51,999,C1
,,18210_79,Early1:OPN,,Mid1:OPN,0,100,A1
,,18210_79,Early2:OPN,,Mid2:OPN,1,50,A3
,,18210_79,Late1:OPN,,Late1:OPN,176,999,C2
,,18210_79,Mid1:OPN,,Late1:OPN,101,175,C1
,,18210_79,Mid2:OPN,,Late1:OPN,51,175,C3
,,18220_79,Early1:OPN,,Late1:CLS,0,30,B1
,,18220_79,Late1:CLS,,Late1:CLS,31,999,C1
,,18230_79,Early1:OPN,,Late1:CLS,0,15,B1
,,18230_79,Late1:CLS,,Late1:CLS,16,999,C1
,,18240_79,Early1:ALL,,Late1:OPN,0,50,B1
,,18240_79,Late1:OPN,,Late1:OPN,51,999,C1
,,18250_79,Early1:ALL,,Late1:OPN,0,50,B1
,,18250_79,Late1:OPN,,Late1:OPN,51,999,C1
,,18260_79,Early1:ALL,,Mid1:OPN,0,20,B1
,,18260_79,Late1:OPN,,Late1:OPN,41,999,C2
,,18260_79,Mid1:OPN,,Late1:OPN,21,40,C1
,,18270_79,Early1:ALL,,Mid1:OPN,0,10,B1
,,18270_79,Late1:OPN,,Late1:OPN,21,999,C2
,,18270_79,Mid1:OPN,,Late1:OPN,11,20,C1
,,18280_79,Early1:ALL,,Mid1:OPN,0,10,B1
,,18280_79,Late1:CLS,,Late1:CLS,16,999,D1
,,18280_79,Mid1:OPN,,Late1:CLS,11,15,C1
