BPS_MODEL,Severity,Avg.FI,Percent.of.All.Fires,Min.FI,Max.FI
10640_15_16_17_23_24_27_28,Replacement,236,33,100,240
10640_15_16_17_23_24_27_28,Moderate (Mixed),118,67,75,140
10640_15_16_17_23_24_27_28,Low (Surface),,,,
10640_15_16_17_23_24_27_28,All Fires,79,100,,
10650_1_8_9_10,Replacement,252,100,,
10650_1_8_9_10,Moderate (Mixed),,,,
10650_1_8_9_10,Low (Surface),,,,
10650_1_8_9_10,All Fires,252,100,,
10660_16_23_24,Replacement,,,,
10660_16_23_24,Moderate (Mixed),,,,
10660_16_23_24,Low (Surface),,,,
10660_16_23_24,All Fires,,,,
10660_22,Replacement,,,,
10660_22,Moderate (Mixed),,,,
10660_22,Low (Surface),,,,
10660_22,All Fires,,,,
10660_29,Replacement,438,100,,
10660_29,Moderate (Mixed),,,,
10660_29,Low (Surface),,,,
10660_29,All Fires,438,100,,
10670_6,Replacement,523,100,,
10670_6,Moderate (Mixed),,,,
10670_6,Low (Surface),,,,
10670_6,All Fires,523,100,,
10680_1_7,Replacement,,,,
10680_1_7,Moderate (Mixed),,,,
10680_1_7,Low (Surface),,,,
10680_1_7,All Fires,,,,
10700_10_19_28,Replacement,227,100,,
10700_10_19_28,Moderate (Mixed),,,,
10700_10_19_28,Low (Surface),,,,
10700_10_19_28,All Fires,227,100,,
10700_16,Replacement,224,100,,
10700_16,Moderate (Mixed),,,,
10700_16,Low (Surface),,,,
10700_16,All Fires,224,100,,
10700_21,Replacement,561,100,,
10700_21,Moderate (Mixed),,,,
10700_21,Low (Surface),,,,
10700_21,All Fires,561,100,,
10710_6,Replacement,227,100,,
10710_6,Moderate (Mixed),,,,
10710_6,Low (Surface),,,,
10710_6,All Fires,227,100,,
10720_22_29,Replacement,327,100,,400
10720_22_29,Moderate (Mixed),,,,
10720_22_29,Low (Surface),,,,
10720_22_29,All Fires,327,100,,
10720_28,Replacement,124,100,,400
10720_28,Moderate (Mixed),,,,
10720_28,Low (Surface),,,,
10720_28,All Fires,124,100,,
10740_25_26,Replacement,,,,
10740_25_26,Moderate (Mixed),,,,
10740_25_26,Low (Surface),,,,
10740_25_26,All Fires,,,,
10750_25,Replacement,706,53,7,100
10750_25,Moderate (Mixed),805,47,,
10750_25,Low (Surface),,,,
10750_25,All Fires,376,100,,
10750_26,Replacement,NA,NA,,
10750_26,Moderate (Mixed),NA,NA,,
10750_26,Low (Surface),NA,NA,,
10750_26,All Fires,NA,NA,,
10760_25,Replacement,22,100,7,100
10760_25,Moderate (Mixed),,,,
10760_25,Low (Surface),,,,
10760_25,All Fires,22,100,,
10760_26,Replacement,,,,
10760_26,Moderate (Mixed),,,,
10760_26,Low (Surface),,,,
10760_26,All Fires,,,,
10770_15,Replacement,348,100,,
10770_15,Moderate (Mixed),,,,
10770_15,Low (Surface),,,,
10770_15,All Fires,348,100,,
10770_25_26,Replacement,NA,NA,,
10770_25_26,Moderate (Mixed),NA,NA,,
10770_25_26,Low (Surface),NA,NA,,
10770_25_26,All Fires,NA,NA,,
10780_15,Replacement,282,100,100,1000
10780_15,Moderate (Mixed),,,,
10780_15,Low (Surface),,,,
10780_15,All Fires,282,100,,
10780_16_23_24_25,Replacement,146,53,,
10780_16_23_24_25,Moderate (Mixed),162,47,,
10780_16_23_24_25,Low (Surface),,,,
10780_16_23_24_25,All Fires,77,100,,
10790_13,Replacement,99,88,,
10790_13,Moderate (Mixed),724,12,,
10790_13,Low (Surface),,,,
10790_13,All Fires,87,100,,
10790_6_9_10_12_16_17_18,Replacement,95,90,100,250
10790_6_9_10_12_16_17_18,Moderate (Mixed),841,10,,
10790_6_9_10_12_16_17_18,Low (Surface),,,,
10790_6_9_10_12_16_17_18,All Fires,85,100,,
10800_1_7_8_9,Replacement,100,100,,
10800_1_7_8_9,Moderate (Mixed),,,,
10800_1_7_8_9,Low (Surface),,,,
10800_1_7_8_9,All Fires,100,100,,
10800_10_19,Replacement,79,100,10,150
10800_10_19,Moderate (Mixed),,,,
10800_10_19,Low (Surface),,,,
10800_10_19,All Fires,79,100,,
10800_13_14,Replacement,109,100,30,200
10800_13_14,Moderate (Mixed),,,,
10800_13_14,Low (Surface),,,,
10800_13_14,All Fires,109,100,,
10801_21_22_28,Replacement,73,100,30,150
10801_21_22_28,Moderate (Mixed),,,,
10801_21_22_28,Low (Surface),,,,
10801_21_22_28,All Fires,73,100,,
10802_21_22_28,Replacement,98,100,80,240
10802_21_22_28,Moderate (Mixed),,,,
10802_21_22_28,Low (Surface),,,,
10802_21_22_28,All Fires,98,100,,
10803_6_12_15_16_17_18_23_24_25,Replacement,152,100,120,250
10803_6_12_15_16_17_18_23_24_25,Moderate (Mixed),,,,
10803_6_12_15_16_17_18_23_24_25,Low (Surface),,,,
10803_6_12_15_16_17_18_23_24_25,All Fires,152,100,,
10804_6_12_15_16_17_18_23_24_25,Replacement,119,100,100,250
10804_6_12_15_16_17_18_23_24_25,Moderate (Mixed),,,,
10804_6_12_15_16_17_18_23_24_25,Low (Surface),,,,
10804_6_12_15_16_17_18_23_24_25,All Fires,119,100,,
10810_15_16_23_24_28,Replacement,614,100,,
10810_15_16_23_24_28,Moderate (Mixed),,,,
10810_15_16_23_24_28,Low (Surface),,,,
10810_15_16_23_24_28,All Fires,614,100,,
10810_18_19_21,Replacement,1131,100,,
10810_18_19_21,Moderate (Mixed),,,,
10810_18_19_21,Low (Surface),,,,
10810_18_19_21,All Fires,1131,100,,
10810_22,Replacement,450,100,,
10810_22,Moderate (Mixed),,,,
10810_22,Low (Surface),,,,
10810_22,All Fires,450,100,,
10810_27_33,Replacement,237,100,,
10810_27_33,Moderate (Mixed),,,,
10810_27_33,Low (Surface),,,,
10810_27_33,All Fires,237,100,,
10810_6_12_13_17,Replacement,1975,100,,
10810_6_12_13_17,Moderate (Mixed),,,,
10810_6_12_13_17,Low (Surface),,,,
10810_6_12_13_17,All Fires,1975,100,,
10810_7_8_9,Replacement,696,100,,
10810_7_8_9,Moderate (Mixed),,,,
10810_7_8_9,Low (Surface),,,,
10810_7_8_9,All Fires,696,100,,
10820_12_15_16_17_23_24,Replacement,831,100,100,1700
10820_12_15_16_17_23_24,Moderate (Mixed),,,,
10820_12_15_16_17_23_24,Low (Surface),,,,
10820_12_15_16_17_23_24,All Fires,831,100,,
10820_14,Replacement,404,100,100,1700
10820_14,Moderate (Mixed),,,,
10820_14,Low (Surface),,,,
10820_14,All Fires,404,100,,
10820_4_13,Replacement,396,100,100,1700
10820_4_13,Moderate (Mixed),,,,
10820_4_13,Low (Surface),,,,
10820_4_13,All Fires,396,100,,
10820_6,Replacement,521,100,100,1700
10820_6,Moderate (Mixed),,,,
10820_6,Low (Surface),,,,
10820_6,All Fires,521,100,,
10830_1,Replacement,1003,100,250,3000
10830_1,Moderate (Mixed),,,,
10830_1,Low (Surface),,,,
10830_1,All Fires,1003,100,,
10840_1,Replacement,10460,100,,
10840_1,Moderate (Mixed),,,,
10840_1,Low (Surface),,,,
10840_1,All Fires,10460,100,,
10850_20,Replacement,30,100,8,30
10850_20,Moderate (Mixed),,,,
10850_20,Low (Surface),,,,
10850_20,All Fires,30,100,,
10850_29_30,Replacement,15,100,8,30
10850_29_30,Moderate (Mixed),,,,
10850_29_30,Low (Surface),,,,
10850_29_30,All Fires,15,100,,
10860_13_16_17_18_21_23,Replacement,102,21,100,200
10860_13_16_17_18_21_23,Moderate (Mixed),28,79,25,100
10860_13_16_17_18_21_23,Low (Surface),,,,
10860_13_16_17_18_21_23,All Fires,22,100,,
10860_25,Replacement,73,74,,
10860_25,Moderate (Mixed),206,26,,
10860_25,Low (Surface),,,,
10860_25,All Fires,54,100,,
10860_26,Replacement,14,100,,
10860_26,Moderate (Mixed),,,,
10860_26,Low (Surface),,,,
10860_26,All Fires,14,100,,
10860_27_31_33,Replacement,46,100,,
10860_27_31_33,Moderate (Mixed),,,,
10860_27_31_33,Low (Surface),,,,
10860_27_31_33,All Fires,46,100,,
10860_28,Replacement,74,74,,
10860_28,Moderate (Mixed),213,26,,
10860_28,Low (Surface),,,,
10860_28,All Fires,55,100,,
10860_29,Replacement,105,100,,
10860_29,Moderate (Mixed),,,,
10860_29,Low (Surface),,,,
10860_29,All Fires,105,100,,
10861_22,Replacement,89,100,90,200
10861_22,Moderate (Mixed),,,,
10861_22,Low (Surface),,,,
10861_22,All Fires,89,100,,
10862_22,Replacement,106,100,,
10862_22,Moderate (Mixed),,,,
10862_22,Low (Surface),,,,
10862_22,All Fires,106,100,,
10870_4_6_12_13_14_15_17_24_25,Replacement,330,100,300,1000
10870_4_6_12_13_14_15_17_24_25,Moderate (Mixed),,,,
10870_4_6_12_13_14_15_17_24_25,Low (Surface),,,,
10870_4_6_12_13_14_15_17_24_25,All Fires,330,100,,
10880_12_13_14_25,Replacement,,,,
10880_12_13_14_25,Moderate (Mixed),,,,
10880_12_13_14_25,Low (Surface),,,,
10880_12_13_14_25,All Fires,,,,
10880_4_5,Replacement,,,,
10880_4_5,Moderate (Mixed),,,,
10880_4_5,Low (Surface),,,,
10880_4_5,All Fires,,,,
10900_14,Replacement,509,100,,
10900_14,Moderate (Mixed),,,,
10900_14,Low (Surface),,,,
10900_14,All Fires,509,100,,
10910_13_14,Replacement,104,100,,
10910_13_14,Moderate (Mixed),,,,
10910_13_14,Low (Surface),,,,
10910_13_14,All Fires,104,100,,
10910_15,Replacement,351,100,,
10910_15,Moderate (Mixed),,,,
10910_15,Low (Surface),,,,
10910_15,All Fires,351,100,,
10910_25,Replacement,367,100,,
10910_25,Moderate (Mixed),,,,
10910_25,Low (Surface),,,,
10910_25,All Fires,367,100,,
10920_4,Replacement,149,100,8,900
10920_4,Moderate (Mixed),,,,
10920_4,Low (Surface),,,,
10920_4,All Fires,149,100,,
10930_13_15_16_23_24_28,Replacement,221,100,,
10930_13_15_16_23_24_28,Moderate (Mixed),,,,
10930_13_15_16_23_24_28,Low (Surface),,,,
10930_13_15_16_23_24_28,All Fires,221,100,,
10940_25,Replacement,16,100,,
10940_25,Moderate (Mixed),,,,
10940_25,Low (Surface),,,,
10940_25,All Fires,16,100,,
10940_26,Replacement,22,100,10,40
10940_26,Moderate (Mixed),,,,
10940_26,Low (Surface),,,,
10940_26,All Fires,22,100,,
10940_27_33,Replacement,22,100,,
10940_27_33,Moderate (Mixed),,,,
10940_27_33,Low (Surface),,,,
10940_27_33,All Fires,22,100,,
10940_31_38,Replacement,23,100,,
10940_31_38,Moderate (Mixed),,,,
10940_31_38,Low (Surface),,,,
10940_31_38,All Fires,23,100,,
10940_32_35,Replacement,52,100,,
10940_32_35,Moderate (Mixed),,,,
10940_32_35,Low (Surface),,,,
10940_32_35,All Fires,52,100,,
10940_34,Replacement,43,100,10,
10940_34,Moderate (Mixed),,,,
10940_34,Low (Surface),,,,
10940_34,All Fires,43,100,,
10950_14,Replacement,10,80,,
10950_14,Moderate (Mixed),,,,
10950_14,Low (Surface),40,20,,
10950_14,All Fires,8,100,,
10950_15,Replacement,10,93,,
10950_15,Moderate (Mixed),,,,
10950_15,Low (Surface),137,7,,
10950_15,All Fires,9,100,,
10950_25,Replacement,10,83,,
10950_25,Moderate (Mixed),,,,
10950_25,Low (Surface),48,17,,
10950_25,All Fires,8,100,,
10950_26_35,Replacement,NA,NA,,
10950_26_35,Moderate (Mixed),NA,NA,,
10950_26_35,Low (Surface),NA,NA,,
10950_26_35,All Fires,NA,NA,,
10950_27,Replacement,NA,NA,,
10950_27,Moderate (Mixed),NA,NA,,
10950_27,Low (Surface),NA,NA,,
10950_27,All Fires,NA,NA,,
10960_3,Replacement,108,100,90,150
10960_3,Moderate (Mixed),,,,
10960_3,Low (Surface),,,,
10960_3,All Fires,108,100,,
10960_4,Replacement,125,100,90,150
10960_4,Moderate (Mixed),,,,
10960_4,Low (Surface),,,,
10960_4,All Fires,125,100,,
10970_3_6_7,Replacement,55,100,,
10970_3_6_7,Moderate (Mixed),,,,
10970_3_6_7,Low (Surface),,,,
10970_3_6_7,All Fires,55,100,,
10970_4_5,Replacement,77,100,,
10970_4_5,Moderate (Mixed),,,,
10970_4_5,Low (Surface),,,,
10970_4_5,All Fires,77,100,,
10980_3,Replacement,93,37,,
10980_3,Moderate (Mixed),54,63,,
10980_3,Low (Surface),,,,
10980_3,All Fires,34,100,,
10980_4,Replacement,57,68,,
10980_4,Moderate (Mixed),119,32,,
10980_4,Low (Surface),,,,
10980_4,All Fires,39,100,,
10980_6,Replacement,92,37,,
10980_6,Moderate (Mixed),54,63,,
10980_6,Low (Surface),,,,
10980_6,All Fires,34,100,,
10980_7,Replacement,50,69,,
10980_7,Moderate (Mixed),199,17,,
10980_7,Low (Surface),235,14,,
10980_7,All Fires,34,100,,
10990_3,Replacement,80,100,40,150
10990_3,Moderate (Mixed),,,,
10990_3,Low (Surface),,,,
10990_3,All Fires,80,100,,
10990_4,Replacement,81,100,40,150
10990_4,Moderate (Mixed),,,,
10990_4,Low (Surface),,,,
10990_4,All Fires,81,100,,
11000_15,Replacement,569,59,,
11000_15,Moderate (Mixed),804,41,,
11000_15,Low (Surface),,,,
11000_15,All Fires,333,100,,
11000_26,Replacement,,,,
11000_26,Moderate (Mixed),,,,
11000_26,Low (Surface),,,,
11000_26,All Fires,,,,
11002_25,Replacement,NA,NA,,
11002_25,Moderate (Mixed),NA,NA,,
11002_25,Low (Surface),NA,NA,,
11002_25,All Fires,NA,NA,,
11003_25,Replacement,,,,
11003_25,Moderate (Mixed),,,,
11003_25,Low (Surface),,,,
11003_25,All Fires,,,,
11010_25,Replacement,41,40,,
11010_25,Moderate (Mixed),,,,
11010_25,Low (Surface),28,60,,
11010_25,All Fires,16,100,,
11010_26,Replacement,40,40,,
11010_26,Moderate (Mixed),,,,
11010_26,Low (Surface),27,60,,
11010_26,All Fires,16,100,,
11020_13_15_16_23_24,Replacement,336,19,100,1000
11020_13_15_16_23_24,Moderate (Mixed),223,29,100,1000
11020_13_15_16_23_24,Low (Surface),128,52,100,100
11020_13_15_16_23_24,All Fires,65,100,,
11020_28,Replacement,431,29,,
11020_28,Moderate (Mixed),193,65,,
11020_28,Low (Surface),2121,6,,
11020_28,All Fires,125,100,,
11030_6_7_12_13_16_17_23,Replacement,50,100,10,90
11030_6_7_12_13_16_17_23,Moderate (Mixed),,,,
11030_6_7_12_13_16_17_23,Low (Surface),,,,
11030_6_7_12_13_16_17_23,All Fires,50,100,,
11040_13_14_25,Replacement,79,100,50,100
11040_13_14_25,Moderate (Mixed),,,,
11040_13_14_25,Low (Surface),,,,
11040_13_14_25,All Fires,79,100,,
11040_15,Replacement,81,96,,
11040_15,Moderate (Mixed),,,,
11040_15,Low (Surface),2188,4,,
11040_15,All Fires,78,100,,
11040_17,Replacement,51,100,10,90
11040_17,Moderate (Mixed),,,,
11040_17,Low (Surface),,,,
11040_17,All Fires,51,100,,
11040_23_24,Replacement,47,89,25,100
11040_23_24,Moderate (Mixed),367,11,,
11040_23_24,Low (Surface),,,,
11040_23_24,All Fires,41,100,,
11050_3_ 6_7,Replacement,74,100,30,125
11050_3_ 6_7,Moderate (Mixed),,,,
11050_3_ 6_7,Low (Surface),,,,
11050_3_ 6_7,All Fires,74,100,,
11050_4_5,Replacement,51,100,30,125
11050_4_5,Moderate (Mixed),,,,
11050_4_5,Low (Surface),,,,
11050_4_5,All Fires,51,100,,
11060_1_8_9,Replacement,41,100,3,50
11060_1_8_9,Moderate (Mixed),,,,
11060_1_8_9,Low (Surface),,,,
11060_1_8_9,All Fires,41,100,,
11060_10_19,Replacement,99,82,20,150
11060_10_19,Moderate (Mixed),440,18,,
11060_10_19,Low (Surface),,,,
11060_10_19,All Fires,81,100,,
11060_18,Replacement,102,44,50,300
11060_18,Moderate (Mixed),79,56,,
11060_18,Low (Surface),,,,
11060_18,All Fires,44,100,,
11060_20_21_29,Replacement,79,100,20,150
11060_20_21_29,Moderate (Mixed),,,,
11060_20_21_29,Low (Surface),,,,
11060_20_21_29,All Fires,79,100,,
11060_22,Replacement,82,83,20,150
11060_22,Moderate (Mixed),389,17,,
11060_22,Low (Surface),,,,
11060_22,All Fires,68,100,,
11070_13,Replacement,153,26,,
11070_13,Moderate (Mixed),52,74,,
11070_13,Low (Surface),,,,
11070_13,All Fires,39,100,,
11070_15,Replacement,51,78,,
11070_15,Moderate (Mixed),175,22,,
11070_15,Low (Surface),,,,
11070_15,All Fires,39,100,,
11070_17,Replacement,153,25,,
11070_17,Moderate (Mixed),52,75,,
11070_17,Low (Surface),,,,
11070_17,All Fires,39,100,,
11070_23_24,Replacement,52,74,,
11070_23_24,Moderate (Mixed),153,26,,
11070_23_24,Low (Surface),,,,
11070_23_24,All Fires,39,100,,
11070_25_28,Replacement,51,77,,
11070_25_28,Moderate (Mixed),174,23,,
11070_25_28,Low (Surface),,,,
11070_25_28,All Fires,40,100,,
11070_27_33,Replacement,50,100,,
11070_27_33,Moderate (Mixed),,,,
11070_27_33,Low (Surface),,,,
11070_27_33,All Fires,50,100,,
11071_16,Replacement,57,74,,
11071_16,Moderate (Mixed),163,26,,
11071_16,Low (Surface),,,,
11071_16,All Fires,42,100,,
11072_16,Replacement,155,25,,
11072_16,Moderate (Mixed),52,75,,
11072_16,Low (Surface),,,,
11072_16,All Fires,39,100,,
11080_17,Replacement,50,100,10,90
11080_17,Moderate (Mixed),,,,
11080_17,Low (Surface),,,,
11080_17,All Fires,50,100,,
11080_4_5_13_14_15_24_25,Replacement,81,100,75,100
11080_4_5_13_14_15_24_25,Moderate (Mixed),,,,
11080_4_5_13_14_15_24_25,Low (Surface),,,,
11080_4_5_13_14_15_24_25,All Fires,81,100,,
11090_14,Replacement,1054,100,50,10000
11090_14,Moderate (Mixed),,,,
11090_14,Low (Surface),,,,
11090_14,All Fires,1054,100,,
11090_15_25,Replacement,1045,100,50,10000
11090_15_25,Moderate (Mixed),,,,
11090_15_25,Low (Surface),,,,
11090_15_25,All Fires,1045,100,,
11090_4_13,Replacement,1292,100,50,10000
11090_4_13,Moderate (Mixed),,,,
11090_4_13,Low (Surface),,,,
11090_4_13,All Fires,1292,100,,
11100_4,Replacement,51,100,30,125
11100_4,Moderate (Mixed),,,,
11100_4,Low (Surface),,,,
11100_4,All Fires,51,100,,
11110_26,Replacement,14,51,,
11110_26,Moderate (Mixed),,,,
11110_26,Low (Surface),15,49,,
11110_26,All Fires,7,100,,
11110_27_33,Replacement,19,56,,
11110_27_33,Moderate (Mixed),,,,
11110_27_33,Low (Surface),24,44,,
11110_27_33,All Fires,11,100,,
11110_32_35,Replacement,13,54,,
11110_32_35,Moderate (Mixed),38,18,,
11110_32_35,Low (Surface),24,28,,
11110_32_35,All Fires,7,100,,
11110_34,Replacement,15,51,,
11110_34,Moderate (Mixed),,,,
11110_34,Low (Surface),15,49,,
11110_34,All Fires,7,100,,
11120_4_5,Replacement,177,6,,
11120_4_5,Moderate (Mixed),94,12,,
11120_4_5,Low (Surface),14,82,,
11120_4_5,All Fires,11,100,,
11130_3,Replacement,173,8,,
11130_3,Moderate (Mixed),31,42,,
11130_3,Low (Surface),26,50,,
11130_3,All Fires,13,100,,
11130_4,Replacement,175,8,,
11130_4,Moderate (Mixed),31,42,,
11130_4,Low (Surface),26,50,,
11130_4,All Fires,13,100,,
11140_3_6_7,Replacement,127,7,,
11140_3_6_7,Moderate (Mixed),569,2,,
11140_3_6_7,Low (Surface),10,91,,
11140_3_6_7,All Fires,9,100,,
11140_4_5,Replacement,127,9,,
11140_4_5,Moderate (Mixed),150,8,,
11140_4_5,Low (Surface),14,83,,
11140_4_5,All Fires,11,100,,
11150_10_19,Replacement,835,23,100,1000
11150_10_19,Moderate (Mixed),445,43,100,1000
11150_10_19,Low (Surface),569,34,,
11150_10_19,All Fires,192,100,,
11150_13,Replacement,800,23,100,1000
11150_13,Moderate (Mixed),423,44,100,1000
11150_13,Low (Surface),562,33,,
11150_13,All Fires,185,100,,
11150_14,Replacement,843,23,100,1000
11150_14,Moderate (Mixed),444,43,100,1000
11150_14,Low (Surface),561,34,,
11150_14,All Fires,191,100,,
11150_15_16_23_24,Replacement,329,19,100,1000
11150_15_16_23_24,Moderate (Mixed),216,29,100,1000
11150_15_16_23_24,Low (Surface),124,52,,
11150_15_16_23_24,All Fires,64,100,,
11150_17,Replacement,810,23,100,1000
11150_17,Moderate (Mixed),426,43,100,1000
11150_17,Low (Surface),551,34,,
11150_17,All Fires,185,100,,
11150_21_22,Replacement,356,18,100,1000
11150_21_22,Moderate (Mixed),213,30,100,1000
11150_21_22,Low (Surface),124,52,100,200
11150_21_22,All Fires,64,100,,
11150_28,Replacement,340,33,100,1000
11150_28,Moderate (Mixed),437,26,100,1000
11150_28,Low (Surface),278,41,,
11150_28,All Fires,113,100,,
11160_15_25,Replacement,136,34,20,1000
11160_15_25,Moderate (Mixed),208,22,20,1000
11160_15_25,Low (Surface),107,44,,
11160_15_25,All Fires,46,100,,
11160_24,Replacement,138,33,20,1000
11160_24,Moderate (Mixed),212,21,20,1000
11160_24,Low (Surface),100,46,,
11160_24,All Fires,46,100,,
11160_26,Replacement,25,41,20,1000
11160_26,Moderate (Mixed),27,37,20,1000
11160_26,Low (Surface),47,22,10,100
11160_26,All Fires,10,100,,
11170_13_15_28,Replacement,367,3,,
11170_13_15_28,Moderate (Mixed),,,,
11170_13_15_28,Low (Surface),11,97,,
11170_13_15_28,All Fires,11,100,,
11170_16_23_24,Replacement,159,5,250,800
11170_16_23_24,Moderate (Mixed),81,10,,
11170_16_23_24,Low (Surface),10,85,8,10
11170_16_23_24,All Fires,8,100,,
11170_20,Replacement,386,4,150,800
11170_20,Moderate (Mixed),74,18,50,80
11170_20,Low (Surface),17,78,10,25
11170_20,All Fires,14,100,,
11170_29,Replacement,379,4,,
11170_29,Moderate (Mixed),,,,
11170_29,Low (Surface),15,96,3,70
11170_29,All Fires,15,100,,
11170_33,Replacement,458,4,,
11170_33,Moderate (Mixed),,,,
11170_33,Low (Surface),20,96,,
11170_33,All Fires,19,100,,
11171_27,Replacement,523,2,,
11171_27,Moderate (Mixed),,,,
11171_27,Low (Surface),12,98,,
11171_27,All Fires,12,100,,
11172_27,Replacement,453,4,,
11172_27,Moderate (Mixed),,,,
11172_27,Low (Surface),19,96,,
11172_27,All Fires,19,100,,
11180_4,Replacement,173,9,,
11180_4,Moderate (Mixed),43,37,,
11180_4,Low (Surface),30,54,,
11180_4,All Fires,16,100,,
11190_24_25,Replacement,501,5,,
11190_24_25,Moderate (Mixed),217,12,,
11190_24_25,Low (Surface),32,83,,
11190_24_25,All Fires,26,100,,
11190_26,Replacement,29,36,20,1000
11190_26,Moderate (Mixed),32,33,20,1000
11190_26,Low (Surface),34,31,10,100
11190_26,All Fires,10,100,,
11190_27,Replacement,499,5,,
11190_27,Moderate (Mixed),229,12,,
11190_27,Low (Surface),33,83,,
11190_27,All Fires,27,100,,
11190_28,Replacement,503,5,,
11190_28,Moderate (Mixed),213,12,,
11190_28,Low (Surface),32,83,,
11190_28,All Fires,26,100,,
11190_34,Replacement,88,45,,
11190_34,Moderate (Mixed),346,11,,
11190_34,Low (Surface),89,44,,
11190_34,All Fires,39,100,,
11200_1_2_7,Replacement,290,3,,
11200_1_2_7,Moderate (Mixed),51,19,,
11200_1_2_7,Low (Surface),13,78,,
11200_1_2_7,All Fires,10,100,,
11210_14,Replacement,10,80,,
11210_14,Moderate (Mixed),,,,
11210_14,Low (Surface),40,20,,
11210_14,All Fires,8,100,,
11210_15,Replacement,10,80,,
11210_15,Moderate (Mixed),,,,
11210_15,Low (Surface),40,20,,
11210_15,All Fires,8,100,,
11210_24,Replacement,10,81,,
11210_24,Moderate (Mixed),,,,
11210_24,Low (Surface),42,19,,
11210_24,All Fires,8,100,,
11210_25,Replacement,,,,
11210_25,Moderate (Mixed),82,100,,
11210_25,Low (Surface),,,,
11210_25,All Fires,82,100,,
11210_26,Replacement,15,71,,
11210_26,Moderate (Mixed),37,29,,
11210_26,Low (Surface),,,,
11210_26,All Fires,11,100,,
11210_27,Replacement,13,100,,
11210_27,Moderate (Mixed),,,,
11210_27,Low (Surface),,,,
11210_27,All Fires,13,100,,
11220_25,Replacement,64,100,,
11220_25,Moderate (Mixed),,,,
11220_25,Low (Surface),,,,
11220_25,All Fires,64,100,,
11220_26,Replacement,,,,
11220_26,Moderate (Mixed),,,,
11220_26,Low (Surface),,,,
11220_26,All Fires,,,,
11220_27,Replacement,,,,
11220_27,Moderate (Mixed),,,,
11220_27,Low (Surface),,,,
11220_27,All Fires,,,,
11230_1_7_8_9,Replacement,39,100,25,100
11230_1_7_8_9,Moderate (Mixed),,,,
11230_1_7_8_9,Low (Surface),,,,
11230_1_7_8_9,All Fires,39,100,,
11230_10_18,Replacement,50,100,20,100
11230_10_18,Moderate (Mixed),,,,
11230_10_18,Low (Surface),,,,
11230_10_18,All Fires,50,100,,
11240_1_7_8_9,Replacement,220,100,,
11240_1_7_8_9,Moderate (Mixed),,,,
11240_1_7_8_9,Low (Surface),,,,
11240_1_7_8_9,All Fires,220,100,,
11240_10_12_17_18_19_21,Replacement,201,100,100,450
11240_10_12_17_18_19_21,Moderate (Mixed),,,,
11240_10_12_17_18_19_21,Low (Surface),,,,
11240_10_12_17_18_19_21,All Fires,201,100,,
11250_1_7_8_9_10_19,Replacement,61,100,,
11250_1_7_8_9_10_19,Moderate (Mixed),,,,
11250_1_7_8_9_10_19,Low (Surface),,,,
11250_1_7_8_9_10_19,All Fires,61,100,,
11250_20_29_30_31_33,Replacement,92,100,,
11250_20_29_30_31_33,Moderate (Mixed),,,,
11250_20_29_30_31_33,Low (Surface),,,,
11250_20_29_30_31_33,All Fires,92,100,,
11250_6_12_13_15_16_17_18_23_24_25_28,Replacement,117,100,75,250
11250_6_12_13_15_16_17_18_23_24_25_28,Moderate (Mixed),,,,
11250_6_12_13_15_16_17_18_23_24_25_28,Low (Surface),,,,
11250_6_12_13_15_16_17_18_23_24_25_28,All Fires,117,100,,
11260_1_7_8_9_10_19,Replacement,31,100,,
11260_1_7_8_9_10_19,Moderate (Mixed),,,,
11260_1_7_8_9_10_19,Low (Surface),,,,
11260_1_7_8_9_10_19,All Fires,31,100,,
11260_13,Replacement,50,100,15,100
11260_13,Moderate (Mixed),,,,
11260_13,Low (Surface),,,,
11260_13,All Fires,50,100,,
11260_20_29_33,Replacement,51,100,10,70
11260_20_29_33,Moderate (Mixed),,,,
11260_20_29_33,Low (Surface),,,,
11260_20_29_33,All Fires,51,100,,
11260_21,Replacement,49,100,30,200
11260_21,Moderate (Mixed),,,,
11260_21,Low (Surface),,,,
11260_21,All Fires,49,100,,
11260_22,Replacement,87,100,50,200
11260_22,Moderate (Mixed),,,,
11260_22,Low (Surface),,,,
11260_22,All Fires,87,100,,
11260_6_12_17_18_28,Replacement,49,100,,
11260_6_12_17_18_28,Moderate (Mixed),,,,
11260_6_12_17_18_28,Low (Surface),,,,
11260_6_12_17_18_28,All Fires,49,100,,
11261_16_23_24,Replacement,49,100,15,100
11261_16_23_24,Moderate (Mixed),,,,
11261_16_23_24,Low (Surface),,,,
11261_16_23_24,All Fires,49,100,,
11262_16_23,Replacement,219,100,100,240
11262_16_23,Moderate (Mixed),,,,
11262_16_23,Low (Surface),,,,
11262_16_23,All Fires,219,100,,
11270_10_12_13_17_18,Replacement,225,100,100,500
11270_10_12_13_17_18,Moderate (Mixed),,,,
11270_10_12_13_17_18,Low (Surface),,,,
11270_10_12_13_17_18,All Fires,225,100,,
11270_14,Replacement,228,100,100,500
11270_14,Moderate (Mixed),,,,
11270_14,Low (Surface),,,,
11270_14,All Fires,228,100,,
11270_15,Replacement,118,100,,
11270_15,Moderate (Mixed),,,,
11270_15,Low (Surface),,,,
11270_15,All Fires,118,100,,
11270_16_23_24_25,Replacement,106,100,,
