BPS_MODEL,Severity,Avg.FI,Percent.of.All.Fires,Min.FI,Max.FI
10250_14_15_24_25_26,Low (Surface),104,44,,
10250_14_15_24_25_26,All Fires,46,100,,
10260_15,Replacement,309,3,,
10260_15,Moderate (Mixed),63,16,,
10260_15,Low (Surface),13,81,1,50
10260_15,All Fires,10,100,,
10270_2_3_7,NA,NA,NA,NA,NA
10270_2_3_7,NA,NA,NA,NA,NA
10270_2_3_7,NA,NA,NA,NA,NA
10270_2_3_7,NA,NA,NA,NA,NA
10270_2_3_7,NA,NA,NA,NA,NA
10270_4_5_6,Replacement,150,7,,
10270_4_5_6,Moderate (Mixed),36,31,,
10270_4_5_6,Low (Surface),17,62,,
10270_4_5_6,All Fires,11,100,,
10280_2_3,NA,NA,NA,NA,NA
10280_2_3,NA,NA,NA,NA,NA
10280_2_3,NA,NA,NA,NA,NA
10280_2_3,NA,NA,NA,NA,NA
10280_2_3,NA,NA,NA,NA,NA
10280_4_6_7_12,Replacement,146,12,,
10280_4_6_7_12,Moderate (Mixed),46,37,,
10280_4_6_7_12,Low (Surface),33,51,10,40
10280_4_6_7_12,All Fires,17,100,,
10290_2_3_4_5_6_7_12,Replacement,284,3,,
10290_2_3_4_5_6_7_12,Moderate (Mixed),33,25,,
10290_2_3_4_5_6_7_12,Low (Surface),11,72,,
10290_2_3_4_5_6_7_12,All Fires,8,100,4,45
10300_2_3_4_5_6_7,Replacement,177,6,100,300
10300_2_3_4_5_6_7,Moderate (Mixed),38,27,50,200
10300_2_3_4_5_6_7,Low (Surface),15,67,5,30
10300_2_3_4_5_6_7,All Fires,10,100,,
10310_2_3_4_5_6_12,Replacement,169,6,,
10310_2_3_4_5_6_12,Moderate (Mixed),86,11,,
10310_2_3_4_5_6_12,Low (Surface),12,83,,
10310_2_3_4_5_6_12,All Fires,10,100,,
10310_7,Replacement,195,10,,
10310_7,Moderate (Mixed),115,16,,
10310_7,Low (Surface),25,74,,
10310_7,All Fires,19,100,,
10320_2_3_7,NA,NA,NA,NA,NA
10320_2_3_7,NA,NA,NA,NA,NA
10320_2_3_7,NA,NA,NA,NA,NA
10320_2_3_7,NA,NA,NA,NA,NA
10320_2_3_7,NA,NA,NA,NA,NA
10320_2_3_7,NA,NA,NA,NA,NA
10321_6,Replacement,151,23,,
10321_6,Moderate (Mixed),177,19,,
10321_6,Low (Surface),58,58,,
10321_6,All Fires,34,100,,
10322_6,Replacement,293,18,,
10322_6,Moderate (Mixed),315,16,,
10322_6,Low (Surface),78,66,,
10322_6,All Fires,51,100,,
10330_12,Replacement,353,18,200,400
10330_12,Moderate (Mixed),79,82,35,120
10330_12,Low (Surface),,,,
10330_12,All Fires,65,100,,
10330_3_6_7,Replacement,482,54,,
