Model_Code,A,B,C,D,E,Agriculture,Developed,Water,UN,UE
10080_1_2_3_7,9,5.0,86.0,,,0,0,0,0,0
10090_19,21,68.0,11.0,,,0,0,0,0,0
10110_15,7,35.0,58.0,,,0,0,0,0,0
10110_16_23_24,49,24.0,6.0,18.0,3.0,0,0,0,0,0
10110_20_29,17,18.0,25.0,26.0,14.0,0,0,0,0,0
10110_21,9,24.0,25.0,27.0,15.0,0,0,0,0,0
10110_22,8,34.0,58.0,,,0,0,0,0,0
10110_27,7,35.0,58.0,,,0,0,0,0,0
10110_28,7,35.0,58.0,,,0,0,0,0,0
10110_6_10_12_17_18_19,14,40.0,45.0,1.0,,0,0,0,0,0
10110_7,27,18.0,18.0,24.0,13.0,0,0,0,0,0
10110_9,48,22.0,13.0,14.0,3.0,0,0,0,0,0
10120_16_27,8,18.0,74.0,,,0,0,0,0,0
10120_17_18_21,8,18.0,74.0,,,0,0,0,0,0
10130_31_38_39_40,18,17.0,35.0,30.0,,0,0,0,0,0
10140_4_5,7,47.0,46.0,,,0,0,0,0,0
10150_2_3_4,1,7.0,92.0,,,0,0,0,0,0
10160_13_14,2,7.0,27.0,64.0,,0,0,0,0,0
10160_15_28,10,21.0,25.0,34.0,10.0,0,0,0,0,0
10160_16_23_24_25,9,21.0,24.0,38.0,8.0,0,0,0,0,0
10160_17,9,21.0,24.0,38.0,8.0,0,0,0,0,0
10160_22,6,27.0,67.0,,,0,0,0,0,0
10170_6_7_8_9_12_18,2,7.0,18.0,43.0,30.0,0,0,0,0,0
10180_1_7,4,36.0,11.0,11.0,38.0,0,0,0,0,0
10190_13_14,2,7.0,27.0,64.0,,0,0,0,0,0
10190_15,2,7.0,27.0,64.0,,0,0,0,0,0
10190_4,1,5.0,32.0,25.0,37.0,0,0,0,0,0
10190_6_7_9_12_16_17_18_19,9,12.0,22.0,57.0,,0,0,0,0,0
10200_13,14,16.0,70.0,,,0,0,0,0,0
10200_6_9_12_17,19,21.0,60.0,,,0,0,0,0,0
10210_2_3_6_7,19,1.0,24.0,53.0,3.0,0,0,0,0,0
