bps_model_id,severity,return_interval(years),percent_of_all_fires
10240_26,All Fires,5.0,100.0
10250_14_15_24_25_26,Replacement,135.0,34.0
10250_14_15_24_25_26,Moderate (Mixed),208.0,22.0
10250_14_15_24_25_26,Low (Surface),104.0,44.0
10250_14_15_24_25_26,All Fires,46.0,100.0
10260_15,Replacement,309.0,3.0
10260_15,Moderate (Mixed),63.0,16.0
10260_15,Low (Surface),13.0,81.0
10260_15,All Fires,10.0,100.0
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_4_5_6,Replacement,150.0,7.0
10270_4_5_6,Moderate (Mixed),36.0,31.0
10270_4_5_6,Low (Surface),17.0,62.0
10270_4_5_6,All Fires,11.0,100.0
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_4_6_7_12,Replacement,146.0,12.0
10280_4_6_7_12,Moderate (Mixed),46.0,37.0
10280_4_6_7_12,Low (Surface),33.0,51.0
10280_4_6_7_12,All Fires,17.0,100.0
10290_2_3_4_5_6_7_12,Replacement,284.0,3.0
10290_2_3_4_5_6_7_12,Moderate (Mixed),33.0,25.0
10290_2_3_4_5_6_7_12,Low (Surface),11.0,72.0
10290_2_3_4_5_6_7_12,All Fires,8.0,100.0
10300_2_3_4_5_6_7,Replacement,177.0,6.0
10300_2_3_4_5_6_7,Moderate (Mixed),38.0,27.0
10300_2_3_4_5_6_7,Low (Surface),15.0,67.0
10300_2_3_4_5_6_7,All Fires,10.0,100.0
10310_2_3_4_5_6_12,Replacement,169.0,6.0
10310_2_3_4_5_6_12,Moderate (Mixed),86.0,11.0
10310_2_3_4_5_6_12,Low (Surface),12.0,83.0
10310_2_3_4_5_6_12,All Fires,10.0,100.0
10310_7,Replacement,195.0,10.0
10310_7,Moderate (Mixed),115.0,16.0
10310_7,Low (Surface),25.0,74.0
10310_7,All Fires,19.0,100.0
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10321_6,Replacement,151.0,23.0
10321_6,Moderate (Mixed),177.0,19.0
10321_6,Low (Surface),58.0,58.0
10321_6,All Fires,34.0,100.0
10322_6,Replacement,293.0,18.0
10322_6,Moderate (Mixed),315.0,16.0
10322_6,Low (Surface),78.0,66.0
10322_6,All Fires,51.0,100.0
10330_12,Replacement,353.0,18.0
10330_12,Moderate (Mixed),79.0,82.0
10330_12,Low (Surface),,
10330_12,All Fires,65.0,100.0
10330_3_6_7,Replacement,482.0,54.0
10330_3_6_7,Moderate (Mixed),575.0,46.0
10330_3_6_7,Low (Surface),,
10330_3_6_7,All Fires,262.0,100.0
10340_4_6_7,Replacement,181.0,37.0
10340_4_6_7,Moderate (Mixed),107.0,63.0
10340_4_6_7,Low (Surface),,
10340_4_6_7,All Fires,67.0,100.0
10350_1_2_7,Replacement,370.0,10.0
10350_1_2_7,Moderate (Mixed),71.0,50.0
10350_1_2_7,Low (Surface),91.0,40.0
10350_1_2_7,All Fires,36.0,100.0
