bps_model_id,symbol,scientific_name,common_name
10510_15_16_17_22_23_24_25,CARU,Calamagrostis rubescens,Pinegrass
10510_15_16_17_22_23_24_25,CAGA3,Carex garberi,Elk sedge
10510_18_21,ABCO,Abies concolor,White fir
10510_18_21,PIFL2,Pinus flexilis,Limber pine
10510_18_21,CAGA3,Carex garberi,Elk sedge
10510_18_21,CARU,Calamagrostis rubescens,Pinegrass
10510_18_21,PSEUD7,Pseudotsuga,Douglas-fir
10510_18_21,PICO,Pinus contorta,Lodgepole pine
10510_18_21,PIPO,Pinus ponderosa,Ponderosa pine
10510_27,PSEUD7,Pseudotsuga,Douglas-fir
10510_27,ABCO,Abies concolor,White fir
10510_27,PIPO,Pinus ponderosa,Ponderosa pine
10510_27,POTR5,Populus tremuloides,Quaking aspen
10510_27,PIEN,Picea engelmannii,Engelmann spruce
10510_28,PIPO,Pinus ponderosa,Ponderosa pine
10510_28,ABCO,Abies concolor,White fir
10510_28,PSME,Pseudotsuga menziesii,Douglas-fir
10510_28,POTR5,Populus tremuloides,Quaking aspen
10510_29,PSEUD7,Pseudotsuga,Douglas-fir
10510_29,ABCO,Abies concolor,White fir
10510_29,PIPO,Pinus ponderosa,Ponderosa pine
10510_29,PICO,Pinus contorta,Lodgepole pine
10510_29,CARU,Calamagrostis rubescens,Pinegrass
10510_29,CAGA3,Carex garberi,Elk sedge
10510_6,ABCO,Abies concolor,White fir
10510_6,PIFL2,Pinus flexilis,Limber pine
10510_6,CAGA3,Carex garberi,Elk sedge
10510_6,CARU,Calamagrostis rubescens,Pinegrass
10510_6,PSEUD7,Pseudotsuga,Douglas-fir
10510_6,PICO,Pinus contorta,Lodgepole pine
10520_12,ABCO,Abies concolor,White fir
10520_12,PIFL2,Pinus flexilis,Limber pine
10520_12,ABLA,Abies lasiocarpa,Subalpine fir
10520_12,PICO,Pinus contorta,Lodgepole pine
10520_13,ABCO,Abies concolor,White fir
10520_13,PIFL2,Pinus flexilis,Limber pine
10520_13,PIPO,Pinus ponderosa,Ponderosa pine
10520_13,POTR5,Populus tremuloides,Quaking aspen
10520_13,PILO,Pinus longaeva,Great basin bristlecone pine
10520_13,CELEI4,Cercocarpus ledifolius var. intermontanus,Curl-leaf mountain mahogany
10520_13,JUSC2,Juniperus scopulorum,Rocky mountain juniper
10520_13,RIBES,Ribes,Currant
10520_15,PSME,Pseudotsuga menziesii,Douglas-fir
10520_15,PICO,Pinus contorta,Lodgepole pine
10520_16_23_24,PSEUD7,Pseudotsuga,Douglas-fir
10520_16_23_24,PICO,Pinus contorta,Lodgepole pine
10520_17,ABCO,Abies concolor,White fir
10520_17,PIFL2,Pinus flexilis,Limber pine
10520_17,ABLA,Abies lasiocarpa,Subalpine fir
10520_17,PICO,Pinus contorta,Lodgepole pine
10520_18,ABCO,Abies concolor,White fir
10520_18,PIFL2,Pinus flexilis,Limber pine
10520_18,ABLA,Abies lasiocarpa,Subalpine fir
10520_18,PICO,Pinus contorta,Lodgepole pine
10520_18,PSME,Pseudotsuga menziesii,Douglas-fir
10520_18,AGBR,Agastache breviflora,Transpecos giant hyssop
10520_21,ABCO,Abies concolor,White fir
10520_21,PIFL2,Pinus flexilis,Limber pine
10520_21,ABLA,Abies lasiocarpa,Subalpine fir
10520_21,PICO,Pinus contorta,Lodgepole pine
10520_21,PSME,Pseudotsuga menziesii,Douglas-fir
10520_21,AGBR,Agastache breviflora,Transpecos giant hyssop
10520_25,PSME,Pseudotsuga menziesii,Douglas-fir
10520_25,ABCO,Abies concolor,White fir
10520_27,PSME,Pseudotsuga menziesii,Douglas-fir
10520_27,ABCO,Abies concolor,White fir
10520_27,PIEN,Picea engelmannii,Engelmann spruce
10520_27,PIPU,Picea pungens,Blue spruce
10520_27,PIPO,Pinus ponderosa,Ponderosa pine
10520_27,POTR5,Populus tremuloides,Quaking aspen
10520_28,ABCO,Abies concolor,White fir
10520_28,POTR,Poa tracyi,Tracy's bluegrass
10520_28,PSME,Pseudotsuga menziesii,Douglas-fir
10520_28,PIPO,Pinus ponderosa,Ponderosa pine
10520_28,PIFL2,Pinus flexilis,Limber pine
10520_28,PIEN,Picea engelmannii,Engelmann spruce
10520_28,PICO,Pinus contorta,Lodgepole pine
10520_28,ABLA,Abies lasiocarpa,Subalpine fir
10530_10_19,PIPO,Pinus ponderosa,Ponderosa pine
10530_10_19,FEID,Festuca idahoensis,Idaho fescue
10530_10_19,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
