bps_model_id,symbol,scientific_name,common_name
10190_4,PIMO,Pinus monophylla,Singleleaf pinyon
10190_4,JUOS,Juniperus osteosperma,Utah juniper
10190_4,CELE,Ceanothus lemmonii,Lemmon’s ceanothus
10190_4,ARTR2,Artemisia tridentata,Big sagebrush
10190_4,CEGRV,Ceanothus greggii var. vestitus,Mojave ceanothus
10190_4,PUTR2,Purshia tridentata,Antelope bitterbrush
10190_4,FRCA6,Fremontodendron californicum,California flannelbush
10190_4,ERNA10,Ericameria nauseosa,Rubber rabbitbrush
10190_6_7_9_12_16_17_18_19,PIMO,Pinus monophylla,Singleleaf pinyon
10190_6_7_9_12_16_17_18_19,JUOS,Juniperus osteosperma,Utah juniper
10190_6_7_9_12_16_17_18_19,ARTEM,Artemisia spp.,Sagebrush
10190_6_7_9_12_16_17_18_19,SYOR,Symphoricarpos orbiculatus,Coralberry
10190_6_7_9_12_16_17_18_19,CERCO,Cercocarpus spp.,Mountain mahogany
10190_6_7_9_12_16_17_18_19,ACHNA,Achnatherum spp.,Needlegrass
10190_6_7_9_12_16_17_18_19,HECO26,Hesperostipa comata,Needle and thread
10190_6_7_9_12_16_17_18_19,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
10200_13,PILO,Pinus longaeva,Great basin bristlecone pine
10200_13,PIFL2,Pinus flexilis,Limber pine
10200_13,RIBES,Ribes,Currant
10200_13,SADOC5,Salvia dorrii ssp. dorrii var. clokeyi,Purple sage
10200_13,ARTR2,Artemisia tridentata,Big sagebrush
10200_13,ARAR8,Artemisia arbuscula,Little sagebrush
10200_6_9_12_17,PILO,Pinus longaeva,Great basin bristlecone pine
10200_6_9_12_17,PIFL2,Pinus flexilis,Limber pine
10200_6_9_12_17,PIAL,Pinus albicaulis,Whitebark pine
10210_2_3_6_7,PSME,Pseudotsuga menziesii,Douglas-fir
10210_2_3_6_7,CADE27,Calocedrus decurrens,Incense cedar
10210_2_3_6_7,CHLA,Chamaecyparis lawsoniana,Port Orford cedar
10210_2_3_6_7,PIJE,Pinus jeffreyi,Jeffrey pine
10210_2_3_6_7,PIMO3,Pinus monticola,Western white pine
10210_2_3_6_7,LIDE3,Lithocarpus densiflorus,Tanoak
10220_2_3_6_7,PSME,Pseudotsuga menziesii,Douglas-fir
10220_2_3_6_7,CADE27,Calocedrus decurrens,Incense cedar
10220_2_3_6_7,CHLA,Chamaecyparis lawsoniana,Port Orford cedar
10220_2_3_6_7,PIJE,Pinus jeffreyi,Jeffrey pine
10220_2_3_6_7,PIMO3,Pinus monticola,Western white pine
10220_2_3_6_7,LIDE3,Lithocarpus densiflorus,Tanoak
10230_14_15_24_25,QUEM,Quercus emoryi,Emory oak
