"bps_model_id","severity","avg_fi","percent_of_all_fires","min_fi","max_fi"
"16180_68_70_71_72_73_74_75_76_77_78","Moderate (Mixed)","","","",""
"16180_68_70_71_72_73_74_75_76_77_78","Low (Surface)","304","100","",""
"16180_68_70_71_72_73_74_75_76_77_78","All Fires","304","100","",""
"16200_68_69_70_71_72_73_74_75_76_77_78","Replacement",NA,NA,"",""
"16200_68_69_70_71_72_73_74_75_76_77_78","Moderate (Mixed)",NA,NA,"",""
"16200_68_69_70_71_72_73_74_75_76_77_78","Low (Surface)",NA,NA,"",""
"16200_68_69_70_71_72_73_74_75_76_77_78","All Fires",NA,NA,"",""
"16210_68_69_70_71_72_73_74_75_76_77","Replacement","177","78","",""
"16210_68_69_70_71_72_73_74_75_76_77","Moderate (Mixed)","631","22","",""
"16210_68_69_70_71_72_73_74_75_76_77","Low (Surface)","","","",""
"16210_68_69_70_71_72_73_74_75_76_77","All Fires","138","100","",""
"16230_70_71_72_73_74","Replacement","199","75","",""
"16230_70_71_72_73_74","Moderate (Mixed)","594","25","",""
"16230_70_71_72_73_74","Low (Surface)","","","",""
"16230_70_71_72_73_74","All Fires","149","100","",""
"16240_68_69_70_71_72_73_74_75_76_77_78","Replacement","504","100","",""
"16240_68_69_70_71_72_73_74_75_76_77_78","Moderate (Mixed)","","","",""
"16240_68_69_70_71_72_73_74_75_76_77_78","Low (Surface)","","","",""
"16240_68_69_70_71_72_73_74_75_76_77_78","All Fires","504","100","",""
"16281_68_69_70_71_72_73_74_76","Replacement","178","99","",""
"16281_68_69_70_71_72_73_74_76","Moderate (Mixed)","12755","1","",""
"16281_68_69_70_71_72_73_74_76","Low (Surface)","","","",""
"16281_68_69_70_71_72_73_74_76","All Fires","176","100","",""
"16282_67_68_69_70_71_72_73_74_75_76_77","Replacement","3238","100","",""
"16282_67_68_69_70_71_72_73_74_75_76_77","Moderate (Mixed)","","","",""
"16282_67_68_69_70_71_72_73_74_75_76_77","Low (Surface)","","","",""
"16282_67_68_69_70_71_72_73_74_75_76_77","All Fires","3238","100","",""
"16291_68","Replacement","122","100","",""
"16291_68","Moderate (Mixed)","","","",""
"16291_68","Low (Surface)","","","",""
"16291_68","All Fires","122","100","",""
"16292_67_68_69_70_71_72_73_74_76","Replacement","3224","100","",""
"16292_67_68_69_70_71_72_73_74_76","Moderate (Mixed)","","","",""
"16292_67_68_69_70_71_72_73_74_76","Low (Surface)","","","",""
"16292_67_68_69_70_71_72_73_74_76","All Fires","3224","100","",""
"16300_68_69_70_71_72_73_74_75_76_77_78","Replacement","115","87","",""
"16300_68_69_70_71_72_73_74_75_76_77_78","Moderate (Mixed)","773","13","",""
"16300_68_69_70_71_72_73_74_75_76_77_78","Low (Surface)","","","",""
"16300_68_69_70_71_72_73_74_75_76_77_78","All Fires","100","100","",""
"16330_68_69_70_71_73_74_75_76_77_78","Replacement","398","100","",""
"16330_68_69_70_71_73_74_75_76_77_78","Moderate (Mixed)","","","",""
"16330_68_69_70_71_73_74_75_76_77_78","Low (Surface)","","","",""
"16330_68_69_70_71_73_74_75_76_77_78","All Fires","398","100","",""
"16350_68_69_70_71_72_73_74_75_76_77_78","Replacement","","","",""
"16350_68_69_70_71_72_73_74_75_76_77_78","Moderate (Mixed)","","","",""
"16350_68_69_70_71_72_73_74_75_76_77_78","Low (Surface)","","","",""
"16350_68_69_70_71_72_73_74_75_76_77_78","All Fires","","","",""
"16370_68_69_70_71_72_73_74_75_76_77_78_80","Replacement","","","",""
"16370_68_69_70_71_72_73_74_75_76_77_78_80","Moderate (Mixed)","","","",""
"16370_68_69_70_71_72_73_74_75_76_77_78_80","Low (Surface)","","","",""
"16370_68_69_70_71_72_73_74_75_76_77_78_80","All Fires","","","",""
"16380_67_68_69_70_71_72_73_76","Replacement","","","",""
"16380_67_68_69_70_71_72_73_76","Moderate (Mixed)","","","",""
"16380_67_68_69_70_71_72_73_76","Low (Surface)","","","",""
"16380_67_68_69_70_71_72_73_76","All Fires","","","",""
"16390_67_68_69_70_71_72_73_76","Replacement","","","",""
"16390_67_68_69_70_71_72_73_76","Moderate (Mixed)","","","",""
"16390_67_68_69_70_71_72_73_76","Low (Surface)","","","",""
"16390_67_68_69_70_71_72_73_76","All Fires","","","",""
"16400_73_76_80","Replacement","","","",""
