"BPS_MODEL","Symbol","Scientific.Name","Common.Name"
"16062_74","BRINA","Bromus inermis ssp. pumpellianus var. arcticus","Pumpelly's brome"
"16062_74","CAPU","Calamagrostis purpurascens","Purple reedgrass"
"16090_68_69_70_71_72_73_74_75_76_77_78","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16090_68_69_70_71_72_73_74_75_76_77_78","SALIX","Salix spp.","Willow"
"16090_68_69_70_71_72_73_74_75_76_77_78","SARA2","Sambucus racemosa","Red elderberry"
"16090_68_69_70_71_72_73_74_75_76_77_78","SPST3","Spiraea stevenii","Beauverd spirea"
"16090_68_69_70_71_72_73_74_75_76_77_78","CACA4","Calamagrostis canadensis","Bluejoint"
"16090_68_69_70_71_72_73_74_75_76_77_78","CHAN9","Chamerion angustifolium","Fireweed"
"16090_68_69_70_71_72_73_74_75_76_77_78","ATFI","Athyrium filix-femina","Common ladyfern"
"16090_68_69_70_71_72_73_74_75_76_77_78","DREX2","Dryopteris expansa","Spreading woodfern"
"16091_68_69_70_71_72_73_74_75_76","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16091_68_69_70_71_72_73_74_75_76","SARA2","Sambucus racemosa","Red elderberry"
"16091_68_69_70_71_72_73_74_75_76","SALIX","Salix spp.","Willow"
"16091_68_69_70_71_72_73_74_75_76","CACA4","Calamagrostis canadensis","Bluejoint"
"16091_68_69_70_71_72_73_74_75_76","CHAN9","Chamerion angustifolium","Fireweed"
"16091_68_69_70_71_72_73_74_75_76","ATFI","Athyrium filix-femina","Common ladyfern"
"16091_68_69_70_71_72_73_74_75_76","DREX2","Dryopteris expansa","Spreading woodfern"
"16101_68_69_70_71_72_73_74_75_76_77","BENA","Betula nana","Dwarf birch"
"16101_68_69_70_71_72_73_74_75_76_77","VAUL","Vaccinium uliginosum","Bog blueberry"
"16101_68_69_70_71_72_73_74_75_76_77","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16101_68_69_70_71_72_73_74_75_76_77","SAPU15","Salix pulchra","Tealeaf willow"
"16101_68_69_70_71_72_73_74_75_76_77","SABA3","Salix barclayi","Barclay's willow"
"16101_68_69_70_71_72_73_74_75_76_77","EMNIN","Empetrum nigrum ssp. nigrum","Black crowberry"
"16101_68_69_70_71_72_73_74_75_76_77","VAVI","Vaccinium vitis-idaea","Lingonberry"
"16101_68_69_70_71_72_73_74_75_76_77","HYSP70","Hylocomium splendens","Splendid feather moss"
"16102_73_74_75_76_77","BENA","Betula nana","Dwarf birch"
"16102_73_74_75_76_77","VAUL","Vaccinium uliginosum","Bog blueberry"
"16102_73_74_75_76_77","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16102_73_74_75_76_77","SAPU15","Salix pulchra","Tealeaf willow"
"16102_73_74_75_76_77","SABA3","Salix barclayi","Barclay's willow"
"16102_73_74_75_76_77","EMNIN","Empetrum nigrum ssp. nigrum","Black crowberry"
"16102_73_74_75_76_77","VAVI","Vaccinium vitis-idaea","Lingonberry"
"16102_73_74_75_76_77","HYSP70","Hylocomium splendens","Splendid feather moss"
"16110_68_69_70_71_72_73_74_75_76_77_78_80","CACA4","Calamagrostis canadensis","Bluejoint"
"16110_68_69_70_71_72_73_74_75_76_77_78_80","CHANA2","Chamerion angustifolium ssp. angustifolium","Fireweed"
"16110_68_69_70_71_72_73_74_75_76_77_78_80","HEMA80","Heracleum maximum","Common cowparsnip"
"16110_68_69_70_71_72_73_74_75_76_77_78_80","ATFI","Athyrium filix-femina","Common ladyfern"
"16120_70_71_73_74","FEAL","Festuca altaica","Altai fescue"
"16120_70_71_73_74","FERU2","Festuca rubra","Red fescue"
"16120_70_71_73_74","CAPU","Calamagrostis purpurascens","Purple reedgrass"
"16120_70_71_73_74","PSSP6","Pseudoroegneria spicata","Bluebunch wheatgrass"
"16120_70_71_73_74","BRINA","Bromus inermis ssp. pumpellianus var. arcticus","Pumpelly's brome"
"16120_70_71_73_74","ARFR4","Artemisia frigida","Prairie sagewort"
"16120_70_71_73_74","ARAL5","Artemisia alaskana","Alaska wormwood"
"16130_68","PIGL","Picea glauca","White spruce"
"16130_68","BENA","Betula nana","Dwarf birch"
"16130_68","ALNUS","Alnus spp.","Alder"
"16130_68","VACCI","Vaccinium spp.","Blueberry"
"16130_68","EMPET","Empetrum spp.","Crowberry"
"16130_68","LEAR11","Leymus arenarius","Sand ryegrass"
"16130_68","LUKU","Lupinus kuschei","Yukon lupine"
"16130_68","OXKO","Oxytropis kobukensis","Kobuk locoweed"
"16141_68_69_70_71_72_73_74_76_78","POBAB2","Populus balsamifera ssp. balsamifera","Balsam poplar"
"16141_68_69_70_71_72_73_74_76_78","PIGL","Picea glauca","White spruce"
"16141_68_69_70_71_72_73_74_76_78","ALNUS","Alnus spp.","Alder"
"16141_68_69_70_71_72_73_74_76_78","SALIX","Salix spp.","Willow"
"16141_68_69_70_71_72_73_74_76_78","SHCA","Shepherdia canadensis","Russet buffaloberry"
"16141_68_69_70_71_72_73_74_76_78","ROAC","Rosa acicularis","Prickly rose"
"16141_68_69_70_71_72_73_74_76_78","VIED","Viburnum edule","Squashberry"
