"BPS_MODEL","Symbol","Scientific.Name","Common.Name"
"16450_73_74_75_76_77_78_80","LUNO","Lupinus nootkatensis","Nootka lupine"
"16450_73_74_75_76_77_78_80","VEVI","Veratrum viride","corn-lily"
"16450_73_74_75_76_77_78_80","ACDE2","Aconitum delphiniifolium","Larkspurleaf monkshood"
"16450_73_74_75_76_77_78_80","ANNA","Anemone narcissiflora","narcissus-flowered anemone"
"16460_75_77_78","TSHE","Tsuga heterophylla","Western hemlock"
"16460_75_77_78","PISI","Picea sitchensis","Sitka spruce"
"16460_75_77_78","THPL","Thuja plicata","Western red cedar"
"16460_75_77_78","VAOV","Vaccinium ovalifolium","Oval-leaf blueberry"
"16460_75_77_78","MEFE","Menziesia ferruginea","Rusty menziesia"
"16460_75_77_78","COCA13","Cornus canadensis","Bunchberry dogwood"
"16470_73_74_75_76_77_78_80","SPFU70","Sphagnum fuscum","sphagnum"
"16470_73_74_75_76_77_78_80","ANPO","Andromeda polifolia","bog rosemary"
"16470_73_74_75_76_77_78_80","BENA","Betula nana","dwarf birch"
"16470_73_74_75_76_77_78_80","EMNI","Empetrum nigrum","black crowberry"
"16470_73_74_75_76_77_78_80","KAPO","Kalmia polifolia","bog laurel"
"16470_73_74_75_76_77_78_80","LEPAD","Ledum palustre ssp. decumbens","marsh Labrador tea"
"16470_73_74_75_76_77_78_80","SAPU15","Salix pulchra","tealeaf willow"
"16470_73_74_75_76_77_78_80","VAOX","Vaccinium oxycoccos","small cranberry"
"16481_75_77","TSME","Tsuga mertensiana","Mountain hemlock"
"16481_75_77","PISI","Picea sitchensis","Sitka spruce"
"16481_75_77","PILU","Picea lutzii","Picea lutzii"
"16481_75_77","VAOV","Vaccinium ovalifolium","Oval-leaf blueberry"
"16481_75_77","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16481_75_77","MEFE","Menziesia ferruginea","Rusty menziesia"
"16481_75_77","ELPY","Elliottia pyroliflorus","Copperbush"
"16481_75_77","NECR2","Nephrophyllidium crista-galli","Deercabbage"
"16482_78","TSME","Tsuga mertensiana","Mountain hemlock"
"16482_78","VAOV","Vaccinium ovalifolium","Oval-leaf blueberry"
"16482_78","MEFE","Menziesia ferruginea","Rusty menziesia"
"16482_78","ELPY","Elliottia pyroliflorus","Copperbush"
"16482_78","BLSP","Blechnum spicant","Deer fern"
"16482_78","NECR2","Nephrophyllidium crista-galli","Deercabbage"
"16482_78","TSHE","Tsuga heterophylla","Western hemlock"
"16510_72_76_80","ATFI","Athyrium filix-femina","Common ladyfern"
"16510_72_76_80","CHANA2","Chamerion angustifolium ssp. angustifolium","Fireweed"
"16510_72_76_80","VEVI","Veratrum viride","Green false hellebore"
"16510_72_76_80","CACA4","Calamagrostis canadensis","Bluejoint"
"16510_72_76_80","LUNON","Lupinus nootkatensis var. nootkatensis","Nootka lupine"
"16510_72_76_80","POAC","Polemonium acutiflorum","Tall jacob's-ladder"
"16520_73_74_75_76_77_78_80","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16520_73_74_75_76_77_78_80","ALVIC","Alnus viridis ssp. crispa","Mountain alder"
"16520_73_74_75_76_77_78_80","RUSP","Rubus spectabilis","Salmonberry"
"16520_73_74_75_76_77_78_80","SARA2","Sambucus racemosa","Red elderberry"
"16520_73_74_75_76_77_78_80","SABA3","Salix barclayi","Barclay's willow"
"16520_73_74_75_76_77_78_80","VAOV","Vaccinium ovalifolium","Oval-leaf blueberry"
"16520_73_74_75_76_77_78_80","OPHO","Oplopanax horridus","Devilsclub"
"16520_73_74_75_76_77_78_80","ELPY","Elliottia pyroliflorus","Copperbush"
"16520_73_74_75_76_77_78_80","CACA4","Calamagrostis canadensis","Bluejoint"
"16520_73_74_75_76_77_78_80","ATFI","Athyrium filix-femina","Common ladyfern"
"16520_73_74_75_76_77_78_80","DREX2","Dryopteris expansa","Spreading woodfern"
"16530_75_77_78","ANGE2","Angelica genuflexa","Kneeling angelica"
"16530_75_77_78","CHANA2","Chamerion angustifolium ssp. angustifolium","Fireweed"
"16530_75_77_78","HEMA80","Heracleum maximum","Common cowparsnip"
"16530_75_77_78","ATFI","Athyrium filix-femina","Common ladyfern"
"16530_75_77_78","VEVI","Veratrum viride","Green false hellebore"
"16530_75_77_78","LUNO","Lupinus nootkatensis","Nootka lupine"
"16530_75_77_78","ACDE2","Aconitum delphiniifolium","Larkspurleaf monkshood"
"16530_75_77_78","SACA14","Sanguisorba canadensis","Canadian burnet"
"16550_75_76_77_78_80","PISI","Picea sitchensis","Sitka spruce"
"16550_75_76_77_78_80","TSHE","Tsuga heterophylla","Western hemlock"
"16550_75_76_77_78_80","POBA2","Populus balsamifera ssp. trichocarpa","Black cottonwood"
"16550_75_76_77_78_80","ALRU2","Alnus rubra","Red alder"
"16550_75_76_77_78_80","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16550_75_76_77_78_80","SALIX","Salix spp.","Willow"
"16550_75_76_77_78_80","OPHO","Oplopanax horridus","Devilsclub"
"16550_75_76_77_78_80","RUSP","Rubus spectabilis","Salmonberry"
"16560_75_76_77_78","CARO6","Carex rostrata","Beaked sedge"
"16560_75_76_77_78","CAAQ","Carex aquatilis","Water sedge"
"16560_75_76_77_78","EQFL","Equisetum fluviatile","Water horsetail"
"16560_75_76_77_78","MYGA","Myrica gale","Sweetgale"
"16560_75_76_77_78","VAUL","Vaccinium uliginosum","Bog blueberry"
"16560_75_76_77_78","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16560_75_76_77_78","SALIX","Salix spp.","Willow"
"16560_75_76_77_78","MYAL3","Myriophyllum alterniflorum","Alternateflower watermilfoil"
"16570_75_77_78","PICO","Pinus contorta","Lodgepole pine"
"16570_75_77_78","CANO","Callitropsis nootkatensis","Alaska cedar"
"16570_75_77_78","TSME","Tsuga mertensiana","Mountain hemlock"
"16570_75_77_78","PISI","Picea stichensis","Sitka spruce"
"16570_75_77_78","EMNI","Empetrum nigrum","Black crowberry"
"16570_75_77_78","KALMI","Kalmia spp.","Laurel"
"16570_75_77_78","LEDUM","Ledum spp.","Labrador tea"
"16570_75_77_78","SPHAG2","Sphagnum spp.","Sphagnum"
"16610_73_74_75_76_77_78_80","CAAQD","Carex aquatilis var. dives","Sitka sedge"
"16610_73_74_75_76_77_78_80","DOPU","Dodecatheon pulchellum","Darkthroat shootingstar"
"16610_73_74_75_76_77_78_80","PAFI3","Parnassia fimbriata","Fringed grass of parnassus"
"16610_73_74_75_76_77_78_80","ERRU2","Eriophorum russeolum","Red cottongrass"
"16610_73_74_75_76_77_78_80","METR3","Menyanthes trifoliata","Buckbean"
"16610_73_74_75_76_77_78_80","COPA28","Comarum palustre","Purple marshlocks"
"16610_73_74_75_76_77_78_80","CASA10","Carex saxatilis","Rock sedge"
"16620_73_75_77_78","CARO6","Carex rostrata","Beaked sedge"
"16620_73_75_77_78","EQFL","Equisetum fluviatile","Water horsetail"
"16620_73_75_77_78","CAAQD","Carex aquatilis var. dives","Sitka sedge"
"16620_73_75_77_78","METR3","Menyanthes trifoliata","Buckbean"
"16620_73_75_77_78","COPA28","Comarum palustre","Purple marshlocks"
"16620_73_75_77_78","ELPA3","Eleocharis palustris","Common spikerush"
"16620_73_75_77_78","SCTA2","Schoenoplectus tabernaemontani","Softstem bulrush"
"16630_73_74_75_76_77_78","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16630_73_74_75_76_77_78","SALIX","Salix spp.","Willow"
"16630_73_74_75_76_77_78","CAAQD","Carex aquatilis var. dives","Sitka sedge"
"16630_73_74_75_76_77_78","CAUT","Carex utriculata","Northwest territory sedge"
"16630_73_74_75_76_77_78","EQFL","Equisetum fluviatile","Water horsetail"
"16630_73_74_75_76_77_78","LYAM3","Lysichiton americanus","American skunkcabbage"
"16630_73_74_75_76_77_78","SPHAG2","Sphagnum spp.","Sphagnum"
"16650_73_75_76_77_78_80","HOPE","Honckenya peploides","Seaside sandplant"
"16650_73_75_76_77_78_80","LEMO8","Leymus mollis","American dunegrass"
"16650_73_75_76_77_78_80","LAJAM","Lathyrus japonicus var. maritimus","Beach pea"
"16650_73_75_76_77_78_80","SEPS","Senecio pseudoarnica","seaside ragwort"
"16650_73_75_76_77_78_80","POEM","Poa eminens","Largeflower speargrass"
"16650_73_75_76_77_78_80","FERU2","Festuca rubra","Red fescue"
"16650_73_75_76_77_78_80","DESCH","Deschampsia beringensis","Hairgrass"
"16650_73_75_76_77_78_80","LUNO","Lupinus nootkatensis","Nootka lupine"
"16650_73_75_76_77_78_80","HEMA80","Heracleum maximum","Common cowparsnip"
"16650_73_75_76_77_78_80","LISC3","Ligusticum scoticum","Scottish licorice-root"
"16680_73_75_76_77_78_80","CALY3","Carex lyngbyei","Lyngbye's sedge"
"16680_73_75_76_77_78_80","POEM","Poa eminens","Largeflower speargrass"
"16680_73_75_76_77_78_80","AREG","Argentina egedii","Pacific silverweed"
"16680_73_75_76_77_78_80","DECA18","Deschampsia caespitosa","Tufted hairgrass"
"16680_73_75_76_77_78_80","PUCCI","Puccinellia spp.","Alkaligrass"
"16680_73_75_76_77_78_80","SALIC","Salicornia spp.","Pickleweed"
"16680_73_75_76_77_78_80","TRMA4","Triglochin maritimum","Seaside arrowgrass"
"16680_73_75_76_77_78_80","CARA4","Carex ramenskii","Ramensk's sedge"
"16760_75_77_78","CHLA13","Chamerion latifolium","Dwarf fireweed"
"16760_75_77_78","CHAN9","Chamerion angustifolium","Fireweed"
"16760_75_77_78","SAAL","Salix alaxensis","Feltleaf willow"
"16760_75_77_78","LUNO","Lupinus nootkatensis","Nootka lupine"
"16760_75_77_78","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16760_75_77_78","SAST2","Salix stolonifera","Sprouting leaf willow"
"16760_75_77_78","SACA14","Sanguisorba canadensis","Canadian burnet"
"16780_75_77","PILU","Picea lutzii","Picea lutzii"
"16780_75_77","TSME","Tsuga mertensiana","Mountain hemlock"
"16780_75_77","BEPAK","Betula papyrifera var. kenaica","Kenai birch"
"16780_75_77","POBA2","Populus balsamifera","Balsam poplar"
"16780_75_77","MEFE","Menziesia ferruginea","Rusty menziesia"
"16780_75_77","VACCI","Vaccinium spp.","Blueberry"
"16780_75_77","RUPE","Rubus pedatus","Strawberryleaf raspberry"
"16790_73_74_75_76_77_78_80","PIGL","Picea glauca","White spruce"
"16790_73_74_75_76_77_78_80","BEPA","Betula neoalaskana","Alaska paper birch"
"16790_73_74_75_76_77_78_80","POBA2","Populus balsamifera ssp. balsamifera","Balsam poplar"
"16790_73_74_75_76_77_78_80","POTR5","Populus tremuloides","Quaking aspen"
"16790_73_74_75_76_77_78_80","MEFE","Menziesia ferruginea","Rusty menziesia"
"16790_73_74_75_76_77_78_80","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16790_73_74_75_76_77_78_80","CACA4","Calamagrostis canadensis","Bluejoint"
"16790_73_74_75_76_77_78_80","OPHO","Oplopanax horridus","Devilsclub"
"16800_74_75_77_78","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16800_74_75_77_78","RUSP","Rubus spectabilis","Salmonberry"
"16800_74_75_77_78","SARA2","Sambucus racemosa","Red elderberry"
"16800_74_75_77_78","SALIX","Salix spp.","Willow"
"16800_74_75_77_78","OPHO","Oplopanax horridus","Devilsclub"
"16800_74_75_77_78","CACA4","Calamagrostis canadensis","Bluejoint"
"16800_74_75_77_78","CHAN9","Chamerion angustifolium","Fireweed"
"16800_74_75_77_78","ATFI","Athyrium filix-femina","Common ladyfern"
"16810_73_75_76_77_78","TSHE","Tsuga heterophylla","Western hemlock"
"16810_73_75_76_77_78","TSME","Tsuga mertensiana","Mountain hemlock"
"16810_73_75_76_77_78","THPL","Thuja plicata","Western red cedar"
"16810_73_75_76_77_78","CHNO","Chamaecyparis nootkatensis","Alaska cedar"
"16810_73_75_76_77_78","NECR2","Nephrophyllidium crista-galli","Deercabbage"
"16810_73_75_76_77_78","ELPY","Elliottia pyroliflorus","Copperbush"
"16810_73_75_76_77_78","LYAM3","Lysichiton americanus","American skunkcabbage"
"16810_73_75_76_77_78","VAOV","Vaccinium ovalifolium","Oval-leaf blueberry"
"16821_68","BENA","Betula nana","Dwarf birch"
"16821_68","VAUL","Vaccinium uliginosum","Bog blueberry"
"16821_68","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16821_68","SAPU15","Salix pulchra","Tealeaf willow"
"16821_68","SABA3","Salix barclayi","Barclay's willow"
"16821_68","EMNIN","Empetrum nigrum ssp. nigrum","Black crowberry"
"16821_68","VAVI","Vaccinium vitis-idaea","Lingonberry"
"16821_68","HYSP70","Hylocomium splendens","Splendid feather moss"
"16822_67_68_69_70_71_72_73_74_76","BENA","Betula nana","Dwarf birch"
"16822_67_68_69_70_71_72_73_74_76","VAUL","Vaccinium uliginosum","Bog blueberry"
"16822_67_68_69_70_71_72_73_74_76","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16822_67_68_69_70_71_72_73_74_76","SAPU15","Salix pulchra","Tealeaf willow"
"16822_67_68_69_70_71_72_73_74_76","SABA3","Salix barclayi","Barclay's willow"
"16822_67_68_69_70_71_72_73_74_76","EMNIN","Empetrum nigrum ssp. nigrum","Black crowberry"
"16822_67_68_69_70_71_72_73_74_76","VAVI","Vaccinium vitis-idaea","Lingonberry"
"16822_67_68_69_70_71_72_73_74_76","HYSP70","Hylocomium splendens","Splendid feather moss"
"16831_68","SAPU15","Salix pulchra","Tealeaf willow"
"16831_68","SARI4","Salix richardsonii","Richardson's willow"
"16831_68","BENA","Betula nana","Dwarf birch"
"16831_68","VAUL","Vaccinium uliginosum","Bog blueberry"
"16831_68","CAAQ","Carex aquatilis","Water sedge"
"16831_68","ERAN6","Eriophorum angustifolium","Tall cottongrass"
"16831_68","CAMI4","Carex microchaeta","Smallawned sedge"
"16832_67_68_69","SAPU15","Salix pulchra","Tealeaf willow"
"16832_67_68_69","SARI4","Salix richardsonii","Richardson's willow"
"16832_67_68_69","BENA","Betula nana","Dwarf birch"
"16832_67_68_69","VAUL","Vaccinium uliginosum","Bog blueberry"
"16832_67_68_69","CAAQ","Carex aquatilis","Water sedge"
"16832_67_68_69","ERAN6","Eriophorum angustifolium","Tall cottongrass"
"16832_67_68_69","CAMI4","Carex microchaeta","Smallawned sedge"
"16850_67_68_69_70_71_72_73_76","DROC","Dryas octopetala","Eightpetal mountain-avens"
"16850_67_68_69_70_71_72_73_76","EMNI","Empetrum nigrum","Black crowberry"
"16850_67_68_69_70_71_72_73_76","VAUL","Vaccinium uliginosum","Bog blueberry"
"16850_67_68_69_70_71_72_73_76","DRIN4","Dryas integrifolia","Entireleaf mountain-avens"
"16850_67_68_69_70_71_72_73_76","LOPR","Loiseleuria procumbens","Alpine azalea"
"16850_67_68_69_70_71_72_73_76","SAPH","Salix phlebophylla","Skeletonleaf willow"
"16850_67_68_69_70_71_72_73_76","ANAL4","Antennaria alpina","Alpine pussytoes"
"16850_67_68_69_70_71_72_73_76","HIAL3","Hierochloe alpina","Alpine sweetgrass"
"16870_67_68_69_70_71_72_73_74_75_76_77","UMBIL2","Umbilicaria spp.","Navel lichen"
"16870_67_68_69_70_71_72_73_74_75_76_77","RHGE60","Rhizocarpon geographicum","World map lichen"
"16870_67_68_69_70_71_72_73_74_75_76_77","CLST60","Cladina stellaris","Star reindeer lichen"
"16870_67_68_69_70_71_72_73_74_75_76_77","RALA70","Racomitrium lanuginosum","Racomitrium moss"
"16870_67_68_69_70_71_72_73_74_75_76_77","FLAVO3","Flavocetraria spp.","Flavocetraria"
"16870_67_68_69_70_71_72_73_74_75_76_77","ALOC60","Alectoria ochroleuca","Witch's hair lichen"
"16870_67_68_69_70_71_72_73_74_75_76_77","LOPR","Loiseleuria procumbens","Alpine azalea"
"16880_67_68_69_70_71_72_73_74_76","DROC","Dryas octopetala","Eightpetal mountain-avens"
"16880_67_68_69_70_71_72_73_74_76","DRIN4","Dryas integrifolia","Entireleaf mountain-avens"
"16880_67_68_69_70_71_72_73_74_76","VAUL","Vaccinium uliginosum","Bog blueberry"
"16880_67_68_69_70_71_72_73_74_76","LOPR","Loiseleuria procumbens","Alpine azalea"
"16880_67_68_69_70_71_72_73_74_76","SARE2","Salix reticulata","netleaf willow"
"16880_67_68_69_70_71_72_73_74_76","SAPH","Salix phlebophylla","Skeletonleaf willow"
"16880_67_68_69_70_71_72_73_74_76","ANMOA3","Anthoxanthum monticola ssp. alpinum","Alpine sweetgrass"
"16880_67_68_69_70_71_72_73_74_76","POVI3","Polygonum viviparum","Alpine bistort"
"16901_68","CATE11","Cassiope tetragona","White arctic mountain heather"
"16901_68","EMNI","Empetrum nigrum","Black crowberry"
"16901_68","VAUL","Vaccinium uliginosum","Bog blueberry"
"16901_68","SALIX","Salix spp.","Willow"
"16901_68","ARAL2","Arctostaphylos alpina","Alpine bearberry"
"16901_68","BENA","Betula nana","Dwarf birch"
"16901_68","CABI5","Carex bigelowii","Bigelow's sedge"
"16901_68","CAMI4","Carex microchaeta","Smallawned sedge"
"16902_67_68_69_70_71_72_73_74_75_76_77","CATE11","Cassiope tetragona","White arctic mountain heather"
"16902_67_68_69_70_71_72_73_74_75_76_77","EMNI","Empetrum nigrum","Black crowberry"
"16902_67_68_69_70_71_72_73_74_75_76_77","VAUL","Vaccinium uliginosum","Bog blueberry"
"16902_67_68_69_70_71_72_73_74_75_76_77","SALIX","Salix spp.","Willow"
"16902_67_68_69_70_71_72_73_74_75_76_77","ARAL2","Arctostaphylos alpina","Alpine bearberry"
"16902_67_68_69_70_71_72_73_74_75_76_77","BENA","Betula nana","Dwarf birch"
"16902_67_68_69_70_71_72_73_74_75_76_77","CABI5","Carex bigelowii","Bigelow's sedge"
"16902_67_68_69_70_71_72_73_74_75_76_77","CAMI4","Carex microchaeta","Smallawned sedge"
"16970_67_68_69_70_71_72_76","ARFU2","Arctophila fulva","Pendantgrass"
"16970_67_68_69_70_71_72_76","CAAQ","Carex aquatilis","Water sedge"
"16970_67_68_69_70_71_72_76","ERAN6","Eriophorum angustifolium","Tall cottongrass"
"16990_67_68_69_70_71_72_73_76","CAMIN","Carex microchaeta ssp. nesophila","Bering sea sedge"
"16990_67_68_69_70_71_72_73_76","ALAL2","Alopecurus alpinus","Boreal alopecurus"
"16990_67_68_69_70_71_72_73_76","ARAR9","Artemisia arctica","Boreal sagebrush"
"16990_67_68_69_70_71_72_73_76","POBI5","Polygonum bistorta","Meadow bistort"
"16990_67_68_69_70_71_72_73_76","VACA3","Valeriana capitata","Captiate valerian"
"16990_67_68_69_70_71_72_73_76","PEDIC","Pedicularis spp.","Lousewort"
"16990_67_68_69_70_71_72_73_76","POAC","Polemonium acutiflorum","Tall jacob's-ladder"
"17010_67_68_72","EMNI","Empetrum nigrum","Black crowberry"
"17010_67_68_72","SAFU","Salix fuscescens","Alaska bog willow"
"17010_67_68_72","SAOV","Salix ovalifolia","Oval-leaf willow"
"17010_67_68_72","BENA","Betula nana","Dwarf birch"
"17010_67_68_72","CARA5","Carex rariflora","Looseflower alpine sedge"
"17010_67_68_72","CADE3","Calamagrostis deschampsioides","Circumpolar reedgrass"
"17010_67_68_72","DECA18","Deschampsia caespitosa","Tufted hairgrass"
"17010_67_68_72","PUAN","Puccinellia andersonii","Anderson's alkaligrass"
"17020_67_68_69_70_72_73_76","ERIOP","Eriophorum spp.","Cottongrass"
"17020_67_68_69_70_72_73_76","CAUT","Carex utriculata","Northwest territory sedge"
"17020_67_68_69_70_72_73_76","BENA","Betula nana","Dwarf birch"
"17020_67_68_69_70_72_73_76","COPA28","Comarum palustre","Purple marshlocks"
"17020_67_68_69_70_72_73_76","EQFL","Equisetum fluviatile","Water horsetail"
"17020_67_68_69_70_72_73_76","SPHAG2","Sphagnum spp.","Sphagnum"
"17020_67_68_69_70_72_73_76","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"17020_67_68_69_70_72_73_76","EMNI","Empetrum nigrum","Black crowberry"
"17020_67_68_69_70_72_73_76","CHCA2","Chamaedaphne calyculata","Leatherleaf"
"17020_67_68_69_70_72_73_76","VAUL","Vaccinium uliginosum","Bog blueberry"
"17040_68_72","CLADI3","Cladina spp.","Reindeer lichen"
"17040_68_72","CLADO3","Cladonia spp.","Cup lichen"
"17040_68_72","BENA","Betula nana","Dwarf birch"
"17040_68_72","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"17040_68_72","EMNI","Empetrum nigrum","Black crowberry"
"17040_68_72","CHCA2","Chamaedaphne calyculata","Leatherleaf"
"17040_68_72","VAUL","Vaccinium uliginosum","Bog blueberry"
"17040_68_72","SAPU15","Salix pulchra","Tealeaf willow"
"17060_67_68_69_70_71_72_73_76","CAAQ","Carex aquatilis","Water sedge"
"17060_67_68_69_70_71_72_73_76","ERAN6","Eriophorum angustifolium","Tall cottongrass"
"17060_67_68_69_70_71_72_73_76","CABI5","Carex bigelowii","Bigelow's sedge"
"17060_67_68_69_70_71_72_73_76","BENA","Betula nana","Dwarf birch"
"17060_67_68_69_70_71_72_73_76","SAPU15","Salix pulchra","Tealeaf willow"
"17060_67_68_69_70_71_72_73_76","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"17060_67_68_69_70_71_72_73_76","VAVI","Vaccinium vitis-idaea","Lingonberry"
"17060_67_68_69_70_71_72_73_76","VAUL","Vaccinium uliginosum","Bog blueberry"
"17080_67_68_69","BENA","Betula nana","Dwarf birch"
"17080_67_68_69","SAPU15","Salix pulchra","Tealeaf willow"
"17080_67_68_69","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"17080_67_68_69","VAVI","Vaccinium vitis-idaea","Lingonberry"
"17080_67_68_69","VAUL","Vaccinium uliginosum","Bog blueberry"
"17080_67_68_69","EMNI","Empetrum nigrum","Black crowberry"
"17080_67_68_69","ERVA4","Eriophorum vaginatum","Tussock cottongrass"
"17080_67_68_69","CABI5","Carex bigelowii","Bigelow's sedge"
"17090_67_68_72_76_80","LEMO8","Leymus mollis","American dunegrass"
"17090_67_68_72_76_80","COGR6","Cochlearia groenlandica","Danish scurvygrass"
"17090_67_68_72_76_80","EMNI","Empetrum nigrum","Black crowberry"
"17090_67_68_72_76_80","ARRU","Arctostaphylos rubra","Red fruit bearberry"
"17090_67_68_72_76_80","LAJAM","Lathyrus japonicus var. maritimus","Beach pea"
"17090_67_68_72_76_80","MEMA3","Mertensia maritima","Oysterleaf"
"17090_67_68_72_76_80","POEM","Poa eminens","Largeflower speargrass"
"17090_67_68_72_76_80","HOPE","Honckenya peploides","Seaside sandplant"
"17090_67_68_72_76_80","COCH2","Conioselinum chinense","Chinese hemlockparsley"
"17090_67_68_72_76_80","CNCN","Cnidium cnidiifolium","Jakutsk snowparsley"
"17110_67_68_72","CARA4","Carex ramenskii","Ramensk's sedge"
"17110_67_68_72","CASU8","Carex subspathacea","Hoppner's sedge"
"17110_67_68_72","CALY3","Carex lyngbyei","Lyngbye's sedge"
"17110_67_68_72","DUFI","Dupontia fisheri","Fisher's tundragrass"
"17110_67_68_72","PUCCI","Puccinellia spp.","Alkaligrass"
"17110_67_68_72","AREG","Argentina egedii","Pacific silverweed"
"17130_67_68_72_76","SAGL","Salix glauca","Grayleaf willow"
"17130_67_68_72_76","SAAL","Salix alaxensis","Feltleaf willow"
"17130_67_68_72_76","SANI10","Salix niphoclada","Barrenground willow"
"17130_67_68_72_76","SARI4","Salix richardsonii","Richardson's willow"
"17130_67_68_72_76","BRINP","Bromus inermis ssp. pumpellianus","Pumpelly's brome"
"17130_67_68_72_76","LEMO8","Leymus mollis","American dunegrass"
"17130_67_68_72_76","CHLA13","Chamerion latifolium","Dwarf fireweed"
"17130_67_68_72_76","CAOB4","Carex obtusata","Obtuse sedge"
"17140_67_68_69_72_76","POBAB2","Populus balsamifera ssp. balsamifera","Balsam poplar"
"17140_67_68_69_72_76","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"17140_67_68_69_72_76","ALINT","Alnus incana ssp. tenuifolia","Thinleaf alder"
"17140_67_68_69_72_76","SARI4","Salix richardsonii","Richardson's willow"
"17140_67_68_69_72_76","SAAL","Salix alaxensis","Feltleaf willow"
"17140_67_68_69_72_76","HEAL","Hedysarum alpinum","Alpine sweetvetch"
"17140_67_68_69_72_76","LUAR2","Lupinus arcticus","Arctic lupine"
"17140_67_68_69_72_76","EQAR","Equisetum arvense","Field horsetail"
"17150_67_68_69_72","SAAL","Salix alaxensis","Feltleaf willow"
"17150_67_68_69_72","SARI4","Salix richardsonii","Richardson's willow"
"17150_67_68_69_72","SAGL","Salix glauca","Grayleaf willow"
"17150_67_68_69_72","SAPU15","Salix pulchra","Tealeaf willow"
"17150_67_68_69_72","DRIN4","Dryas integrifolia","Entireleaf mountain-avens"
"17150_67_68_69_72","CHLA13","Chamerion latifolium","Dwarf fireweed"
"17150_67_68_69_72","LUPIN","Lupinus spp.","Lupine"
"17150_67_68_69_72","POBA2","Populus balsamifera","Balsam poplar"
"17200_72_73_76_80","VAVIM","Vaccinium vitis-idaea ssp. minus","Northern mountain cranberry"
"17200_72_73_76_80","EMNI","Empetrum nigrum","Black crowberry"
"17200_72_73_76_80","HAST3","Harrimanella stelleriana","Alaska bellheather"
"17200_72_73_76_80","PHAL4","Phyllodoce aleutica","Aleutian mountainheath"
"17200_72_73_76_80","ARAL2","Arctostaphylos alpina","Alpine bearberry"
"17200_72_73_76_80","SAAR27","Salix arctica","Arctic willow"
"17200_72_73_76_80","CALY4","Cassiope lycopodioides","Clubmoss mountain heather"
"17200_72_73_76_80","CAMA11","Carex macrochaeta","Longawn sedge"
"17200_72_73_76_80","LUNON","Lupinus nootkatensis var. nootkatensis","Nootka lupine"
"17200_72_73_76_80","CHANA2","Chamerion angustifolium ssp. angustifolium","Fireweed"
"17220_68_69_70_71_72_73_74_75_76_77_78","CAAQ","Carex aquatilis","Water sedge"
"17220_68_69_70_71_72_73_74_75_76_77_78","CAUT","Carex utriculata","Northwest territory sedge"
"17220_68_69_70_71_72_73_74_75_76_77_78","METR3","Menyanthes trifoliata","Buckbean"
"17220_68_69_70_71_72_73_74_75_76_77_78","COPA28","Comarum palustre","Purple marshlocks"
"17220_68_69_70_71_72_73_74_75_76_77_78","HIPPU","Hippuris spp.","Mare's-tail"
"17220_68_69_70_71_72_73_74_75_76_77_78","EQFL","Equisetum fluviatile","Water horsetail"
